Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,146,18,6,3,3,10,5,4,D,8,-,D,6,4,4,-,D,7,3,D,3,D,-,3,D,D,-,D,D,-,-,D,-,-,D,-,-,-,D,D,D,-,D,D,-,-,-,-,-,-,D,3,32,,
"Czechoslovakia, former",865,89,46,40,32,79,27,6,8,21,29,9,20,10,9,5,4,15,12,17,6,27,5,9,12,3,5,3,9,-,D,-,7,D,4,3,D,D,8,5,5,D,5,-,-,-,-,7,D,-,D,28,224,,
Denmark,603,69,55,15,26,18,39,22,22,17,25,15,39,5,11,3,11,6,D,7,D,6,D,7,3,9,D,11,8,D,-,D,3,-,D,D,5,D,3,5,-,-,D,-,D,D,-,-,D,D,3,8,108,,
Djibouti,54,-,-,-,5,3,-,D,4,-,-,6,4,-,D,-,9,D,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,10,,
Dominica,484,155,3,35,13,D,D,20,D,20,13,D,-,4,-,D,D,D,D,9,D,12,-,-,3,D,-,-,6,D,-,-,D,-,3,-,4,-,-,D,-,-,-,-,-,-,-,D,-,-,D,119,46,,
Dominican Republic,"49,414","30,228",65,"2,522",478,143,25,109,60,"3,619",244,22,22,"1,039",7,29,60,47,34,704,66,345,15,15,100,6,58,11,288,"1,074",5,20,130,12,18,16,154,52,79,16,7,"2,636",40,11,D,D,4,5,250,10,61,425,"4,025",,
East Timor,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Ecuador,"12,128","6,552",391,"1,325",246,410,44,160,77,73,115,23,28,91,16,55,87,49,7,212,52,112,10,12,36,6,16,9,245,26,9,10,165,7,18,29,41,5,18,8,6,20,34,8,-,11,D,D,33,5,10,50,"1,151",,
Egypt,"8,844","2,841",783,76,366,232,84,150,175,167,79,74,91,233,44,136,94,46,91,111,36,86,30,31,86,63,60,13,21,38,D,16,26,D,635,15,28,43,48,26,17,3,15,11,15,22,D,13,53,-,56,43,"1,416",,
El Salvador,"19,909","2,651","4,280",411,"3,205",159,903,"1,635",751,463,277,61,105,33,148,429,86,100,11,63,324,53,74,62,183,37,20,66,45,44,3,47,114,9,61,45,8,32,44,42,3,22,15,18,113,66,42,133,39,9,14,147,"2,204",,
Equatorial Guinea,32,4,D,-,-,-,D,D,-,-,-,-,-,-,D,D,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,3,,
Eritrea,"1,928",23,84,4,259,47,103,86,54,46,102,22,152,21,39,4,68,49,D,14,70,3,13,103,13,20,33,3,D,9,-,-,21,-,10,25,-,21,13,15,48,-,D,14,D,-,D,-,D,-,-,D,308,,
Estonia,282,51,12,29,11,12,7,3,8,3,4,D,10,6,-,D,4,5,D,6,3,3,-,3,4,D,3,D,4,-,-,-,-,-,-,-,D,4,3,D,D,-,3,-,-,D,-,D,-,-,-,4,65,,
Ethiopia,"15,462",285,435,26,"2,961",331,285,235,615,339,893,212,"1,055",161,273,44,"1,478",189,40,25,506,43,83,647,173,245,334,93,18,14,7,14,87,D,198,48,28,44,45,141,100,-,77,29,11,10,10,6,15,D,21,134,"2,393",,
Falkland Islands,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Fiji,"1,194",D,62,3,5,7,225,6,8,D,D,5,92,-,58,22,5,4,-,3,D,D,349,D,3,43,-,D,D,-,13,-,-,-,-,D,-,-,-,D,D,-,-,-,5,-,50,-,-,-,-,D,208,,
Finland,423,38,24,38,15,8,12,9,40,8,22,11,16,D,8,3,5,3,4,D,D,6,D,3,4,D,5,3,11,3,-,D,D,D,D,D,-,D,D,D,3,-,4,-,-,-,D,-,-,-,D,9,86,,
France,"4,491",838,368,306,203,110,285,108,73,167,107,94,133,75,178,22,48,50,44,53,45,33,30,25,18,19,12,45,30,15,10,13,15,D,15,12,4,12,29,8,14,8,D,10,14,10,4,3,10,-,13,39,709,,
French Guiana,18,5,-,D,-,-,-,D,-,-,-,-,-,-,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,D,2,,
French Polynesia,30,D,D,D,D,-,5,D,-,-,-,3,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,
Gabon,171,14,3,-,18,10,D,20,6,3,13,-,D,D,-,-,D,D,4,-,6,-,-,3,3,-,D,D,D,-,D,-,3,-,-,-,-,D,D,-,-,-,3,D,-,-,-,-,D,-,D,-,42,,
Gambia,978,239,5,4,87,5,7,4,23,13,101,D,81,7,D,D,30,5,19,D,D,-,D,3,16,10,28,-,D,15,-,-,6,-,9,D,-,-,50,13,4,-,D,-,-,-,D,-,D,-,D,9,170,,
Georgia,"1,578",711,139,22,32,42,34,11,5,16,25,3,20,72,19,D,8,4,D,8,13,4,21,10,9,27,10,D,12,3,-,D,9,-,3,6,4,D,4,D,6,-,7,3,D,-,-,-,3,-,12,9,222,,
Germany,"7,583",881,415,230,257,209,296,124,122,200,158,130,153,148,191,65,62,89,155,58,50,94,36,68,62,47,27,55,34,34,23,61,65,38,24,31,29,38,31,29,32,5,32,24,9,30,D,6,23,D,37,162,"2,398",,
Ghana,"8,401","2,466",127,43,983,291,34,100,173,115,434,8,63,260,8,39,146,46,48,24,22,34,19,136,209,10,355,17,19,69,D,6,69,D,47,6,124,18,28,11,27,-,17,6,D,4,3,4,349,D,19,41,"1,319",,
Gibraltar,D,-,-,D,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,3,,
Greece,798,198,48,28,27,45,21,17,10,57,11,10,7,28,10,5,D,7,10,4,6,26,D,3,13,3,D,D,14,3,D,4,6,-,D,-,3,D,3,-,5,-,7,D,D,-,-,D,4,-,3,D,138,,
Grenada,748,533,8,21,28,D,D,14,11,D,13,3,D,5,3,-,-,-,-,6,-,6,D,-,9,-,-,D,5,D,-,-,D,-,-,-,D,-,-,D,D,-,D,-,-,-,-,-,-,-,-,5,63,,
Guadeloupe,32,11,-,6,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,4,,
Guam,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Guatemala,"12,187",964,"2,801",525,595,455,568,307,211,339,214,121,86,74,80,372,53,170,18,56,148,47,54,52,56,125,7,34,150,275,3,40,32,7,43,41,13,21,35,54,17,10,12,13,26,65,16,51,19,6,27,202,"2,477",,
Guinea,"1,725",768,10,5,128,20,11,25,27,31,120,-,22,78,D,D,52,3,9,D,4,D,-,22,15,D,58,D,-,31,-,-,5,-,D,D,-,38,4,8,3,-,6,-,D,-,-,-,3,-,D,3,202,,
Guinea-Bissau,20,4,-,-,-,-,-,-,-,D,-,-,D,D,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,7,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,
Guyana,"6,670","4,732",37,245,220,11,9,38,15,46,128,6,5,60,5,10,109,8,9,191,6,48,-,D,48,-,4,3,10,D,D,-,15,-,11,D,55,3,4,5,D,6,11,D,D,D,-,-,4,-,32,12,499,,
Haiti,"24,280","5,729",36,"9,407",211,138,15,41,15,"1,864",297,21,20,336,7,5,14,11,11,"1,491",19,276,D,18,56,23,23,11,384,87,D,D,20,D,19,6,23,14,12,24,14,4,168,D,D,D,-,-,45,D,D,210,"3,142",,
Honduras,"6,404","1,020",542,"1,062",375,136,81,420,209,146,102,27,41,31,23,56,25,53,6,60,50,85,15,12,39,18,7,43,40,15,3,43,50,6,22,3,4,23,36,32,15,14,11,12,11,12,6,5,7,16,9,69,"1,256",,
Hong Kong,"2,651",511,453,21,56,61,430,73,24,108,27,40,125,32,142,24,10,9,8,10,22,D,39,7,13,13,6,11,8,4,39,3,8,-,5,7,3,5,3,5,7,-,5,8,D,5,5,3,7,-,11,14,217,,
Hungary,"1,314",250,128,133,33,37,27,14,10,21,10,10,17,14,19,13,6,12,10,14,27,30,9,11,15,8,9,3,20,D,D,7,9,D,6,5,8,14,6,D,4,D,10,4,3,11,D,3,-,D,7,10,287,,
Iceland,131,8,14,6,3,D,3,D,D,4,13,6,D,4,D,-,-,D,-,9,-,3,D,-,-,-,-,-,D,-,-,-,-,-,D,-,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,D,41,,
India,"57,304","9,867","2,206",432,"2,328","3,689","2,932","1,751","1,941","1,336","1,417",435,"1,450","2,018","3,000",594,537,472,974,265,142,367,858,223,654,350,260,435,265,159,31,163,383,19,179,107,342,305,363,278,281,4,143,51,538,190,411,402,187,25,271,561,"10,713",,
Indonesia,"3,679",393,764,24,125,69,251,78,65,106,83,29,173,118,94,290,31,44,15,8,36,18,36,53,23,21,20,18,4,5,18,6,8,D,8,10,3,8,5,9,8,D,3,7,6,13,4,4,D,-,15,62,484,,
Iran,"18,553",587,"8,209",112,956,313,548,413,456,172,310,448,327,86,821,121,87,233,51,54,159,31,225,107,165,97,48,130,19,15,9,263,49,D,116,140,36,24,56,55,46,D,43,44,44,77,5,7,32,D,33,27,"2,142",,
Iraq,"12,110",210,331,33,462,725,72,345,252,86,200,"1,969",168,121,72,134,36,565,"2,489",14,38,38,89,128,48,62,77,64,11,19,-,73,11,19,175,111,14,10,40,113,130,D,51,182,-,8,11,D,31,D,24,43,"2,201",,
Ireland,"1,637",385,64,22,46,83,117,15,10,222,21,16,44,32,34,12,9,13,6,16,12,14,3,9,16,15,4,13,25,9,D,D,3,-,-,-,3,6,6,D,7,-,8,D,D,D,D,4,D,-,4,32,264,,
Israel,"5,612","1,437",799,512,108,161,165,84,124,214,110,62,134,94,284,38,19,48,40,26,97,36,19,27,21,38,19,32,5,8,6,11,16,3,25,5,14,8,15,11,29,5,10,9,D,20,D,-,9,D,43,25,583,,
Italy,"2,892",602,203,239,109,99,81,69,35,120,45,65,54,67,43,18,11,22,43,22,22,35,10,15,30,20,9,9,20,18,5,11,8,3,D,11,20,5,14,8,3,12,4,5,D,9,D,D,9,-,12,23,590,,
Jamaica,"21,783","7,807",164,"4,954",612,262,46,163,101,332,891,23,34,592,9,54,31,59,71,517,38,324,10,15,231,8,33,15,355,44,7,20,49,5,27,-,523,26,23,28,27,-,103,8,D,-,D,D,29,3,41,159,"2,906",,
Japan,"7,690",982,"1,133",81,208,207,401,106,81,143,103,259,342,93,270,83,56,50,129,36,95,35,37,35,36,120,52,28,37,6,457,29,25,10,21,24,13,13,19,28,24,4,15,17,8,23,D,11,17,D,27,175,"1,482",,
Jordan,"4,282",520,215,68,113,549,104,134,161,33,45,78,40,62,31,96,29,44,181,34,20,55,37,25,21,13,79,12,15,D,D,20,35,9,47,16,6,29,29,28,35,10,8,9,13,9,6,11,7,D,77,50,"1,009",,
Kazakhstan,"1,562",267,55,28,59,51,41,41,22,41,27,17,62,55,13,6,22,18,7,8,7,11,72,13,16,60,13,D,D,4,-,3,8,3,4,D,D,4,8,5,9,-,6,10,D,4,D,D,3,-,10,34,404,,
Kenya,"9,880",377,198,19,288,115,127,221,694,393,483,112,576,245,48,66,885,142,14,39,28,24,43,93,221,115,368,31,D,37,6,16,33,7,60,103,27,56,118,223,128,-,18,105,3,3,4,D,141,D,33,33,"2,757",,
Kiribati,10,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,4,,
"Korea, North",67,12,9,-,7,D,-,-,D,D,D,D,D,D,-,-,-,5,-,-,-,-,-,4,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,,
"Korea, South","25,859","3,931","6,208",178,"1,666",856,628,349,500,384,"1,038",395,774,463,694,359,121,134,206,94,168,85,130,148,438,180,73,194,57,31,236,55,67,19,92,40,52,49,126,54,107,D,32,30,23,76,D,17,37,30,38,395,"3,787",,
Kuwait,"1,124",132,73,22,42,75,27,31,69,17,38,9,20,11,11,17,7,11,49,11,8,16,10,8,15,11,13,4,-,-,-,D,7,5,10,4,D,5,6,16,D,D,5,3,D,D,D,5,D,-,26,3,260,,
Kyrgyzstan,574,104,11,8,22,19,15,9,4,8,4,D,27,17,9,D,21,4,3,6,6,3,24,6,D,19,D,-,D,-,4,D,D,-,D,3,D,D,-,3,-,D,D,3,D,D,-,D,-,-,3,11,176,,
Laos,"1,688",5,37,5,24,19,25,13,56,20,33,27,63,15,17,19,312,4,17,4,18,22,57,16,D,27,17,3,D,22,14,D,22,-,52,10,9,-,D,9,D,-,4,3,97,D,9,D,D,-,D,20,532,,
Latvia,444,91,24,14,11,34,12,6,5,11,18,5,30,4,12,3,6,D,3,4,D,5,6,-,7,3,-,-,7,-,-,D,D,-,-,D,-,3,3,D,-,-,-,D,-,-,-,-,D,-,6,D,100,,
Lebanon,"3,831",320,434,103,131,77,77,133,67,181,53,57,35,39,33,56,29,41,792,26,38,45,23,21,20,18,14,30,16,72,-,6,20,5,D,5,7,10,8,7,12,5,7,21,7,6,6,6,17,D,54,11,627,,
Lesotho,14,D,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,,
Liberia,"7,641",568,15,10,402,86,63,143,178,140,327,13,42,"1,347",8,6,986,162,61,14,23,38,24,63,169,44,71,27,6,287,-,16,144,-,8,33,42,62,17,74,58,-,68,33,3,-,D,D,137,-,42,16,"1,562",,
Libya,296,32,24,6,9,7,11,13,5,3,8,3,12,4,D,3,D,3,8,D,D,5,5,6,4,4,D,-,D,D,-,D,4,-,4,D,-,D,D,D,3,-,-,8,-,-,D,-,D,D,-,D,78,,
Liechtenstein,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Lithuania,"1,069",140,39,37,14,391,12,4,4,31,29,16,4,24,5,7,11,3,10,7,3,9,D,8,5,D,4,7,11,4,-,-,8,D,4,4,7,D,9,6,-,-,6,-,-,-,-,-,3,-,8,15,154,,
Luxembourg,30,6,D,D,D,D,-,-,-,D,-,-,D,-,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7,,
Macau,158,20,24,-,3,6,41,D,D,5,D,4,5,-,9,-,-,4,D,D,-,-,5,D,-,-,-,-,-,D,8,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,13,,
Macedonia,"1,128",355,23,15,8,194,4,5,13,15,5,D,D,13,D,D,D,14,85,D,12,14,-,6,-,D,14,D,8,D,-,D,-,D,-,-,6,D,D,6,4,-,3,D,D,-,-,-,-,-,5,18,260,,
Madagascar,71,18,D,-,8,-,D,D,D,3,D,D,-,-,-,D,D,D,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,22,,
Malawi,164,8,3,D,22,6,-,-,12,D,D,3,D,D,-,6,-,D,D,-,-,D,-,-,3,D,5,-,-,-,-,-,D,-,D,-,D,7,D,-,D,-,-,-,-,-,-,-,D,-,D,3,65,,
Malaysia,"2,014",338,151,18,71,58,113,75,95,26,62,26,55,25,105,23,15,30,20,8,8,10,14,14,22,7,7,22,6,D,13,4,7,-,10,9,D,80,7,17,17,-,13,6,D,D,D,D,-,-,5,13,381,,
Maldives,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,,
Mali,576,240,4,3,36,9,10,9,D,-,22,-,3,60,D,-,3,3,D,3,D,D,-,15,12,-,11,-,-,6,-,-,8,-,-,D,D,16,-,-,-,-,D,5,-,-,-,-,D,-,D,D,80,,
Malta,58,12,3,3,-,-,7,-,D,-,-,-,D,-,D,D,D,-,D,3,D,D,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,15,,
Marshall Islands,48,D,3,-,D,3,D,-,D,-,D,-,3,-,-,-,D,-,-,-,-,D,-,-,-,D,-,-,-,-,3,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,8,14,,
Martinique,24,D,-,4,-,-,-,D,D,4,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,6,,
Mauritania,597,137,D,-,18,7,D,-,5,6,16,D,11,26,-,D,-,D,9,-,-,-,-,26,10,D,79,-,-,3,-,-,-,-,-,-,-,3,D,12,3,-,D,6,-,-,-,-,-,-,D,8,201,,
Mauritius,110,14,3,-,20,D,4,5,3,4,5,5,3,6,D,3,-,4,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,22,,
Mexico,"164,920","2,394","21,811","1,527",942,"8,732","2,725","8,643","9,322",179,"1,924","7,829","1,018",681,"1,632","8,101",610,"5,250",550,387,"2,427",517,"1,355","2,084",191,"1,030",149,"1,664",122,66,29,"2,457",497,"4,114",316,737,64,331,434,611,189,87,55,"1,510","1,785","1,592","1,070","1,645",18,"2,733",98,"4,553","46,133",,
"Micronesia, Federated States",16,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,6,,
Moldova,"2,295",184,43,40,30,77,15,8,11,29,77,20,335,40,9,10,88,21,D,23,22,24,358,25,7,136,D,3,5,D,D,D,60,-,3,3,D,D,4,D,8,-,8,D,D,D,-,-,D,D,10,26,510,,
Monaco,D,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Mongolia,831,30,59,D,106,79,190,6,9,8,D,9,69,3,4,3,D,4,D,4,5,3,29,39,4,D,D,D,-,-,3,3,3,-,-,6,D,5,3,3,D,-,-,-,-,D,-,-,-,-,3,8,120,,
Montserrat,43,10,-,6,-,-,-,-,-,13,D,-,-,-,-,D,-,-,-,D,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,,
Morocco,"5,447","1,039",137,136,498,175,78,85,67,611,83,29,55,187,18,16,55,31,48,281,29,62,13,84,56,27,95,39,48,39,D,11,27,3,14,4,30,13,108,7,6,D,31,D,D,8,3,3,19,3,23,40,967,,
Mozambique,66,11,4,3,5,D,-,D,D,D,3,3,D,3,D,-,D,4,-,-,D,-,-,-,-,-,-,D,D,D,-,-,-,-,-,D,D,D,D,-,D,-,-,-,-,-,-,-,D,-,-,-,8,,
Namibia,53,8,-,-,4,-,D,D,D,-,D,D,3,D,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,5,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,19,,
Nepal,"4,514",647,119,13,536,103,235,80,404,202,110,13,62,43,77,12,50,35,37,6,19,17,56,151,123,36,14,48,28,D,3,4,5,-,5,29,50,8,46,37,28,-,6,26,5,10,3,-,5,D,11,36,917,,
