NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,Comoros,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Northern New Jersey-Long Island, NY-NJ-PA",179.0,1032.0,250.0,11.0,7.0,171.0,611.0,253.0,3.0,316.0,59.0,198.0,27.0,21.0,9323.0,214.0,463.0,123.0,170.0,45.0,9.0,77.0,189.0,50.0,9.0,1638.0,3.0,244.0,173.0,433.0,15.0,35.0,192.0,1072.0,11.0,7.0,15.0,52.0,266.0,28390.0,5089.0,,51.0,46.0,501.0,71.0,940.0,26.0,36.0,58.0,,100.0,28569.0,6104.0,2369.0,2366.0,40.0,43.0,232.0,18.0,31.0,3.0,18.0,253.0,785.0,735.0,2559.0,252.0,413.0,887.0,729.0,5.0,4941.0,5474.0,869.0,414.0,203.0,9.0,11256.0,266.0,455.0,208.0,327.0,967.0,514.0,7121.0,741.0,495.0,220.0,372.0,7.0,3195.0,90.0,121.0,4.0,69.0,256.0,3.0,306.0,28.0,113.0,15.0,378.0,4.0,3.0,332.0,240.0,7.0,,91.0,17.0,2103.0,206.0,13.0,124.0,9.0,772.0,10.0,5.0,965.0,136.0,67.0,174.0,14.0,1699.0,12.0,3932.0,227.0,183.0,3321.0,4177.0,1980.0,281.0,12.0,473.0,1435.0,10.0,88.0,332.0,318.0,,,151.0,450.0,32.0,322.0,121.0,176.0,14.0,7.0,226.0,290.0,541.0,162.0,98.0,4.0,124.0,101.0,225.0,686.0,137.0,66.0,251.0,246.0,4.0,2657.0,61.0,1148.0,59.0,,47.0,1751.0,118.0,1479.0,36.0,399.0,3158.0,604.0,507.0,1316.0,59.0,67.0,180794.0
"Los Angeles-Long Beach-Santa Ana, CA",86.0,25.0,34.0,,,,292.0,1990.0,,284.0,38.0,104.0,4.0,8.0,583.0,5.0,56.0,32.0,246.0,3.0,,,147.0,16.0,,448.0,8.0,108.0,,375.0,,443.0,104.0,744.0,,,,,100.0,10113.0,623.0,,31.0,23.0,67.0,25.0,191.0,13.0,19.0,46.0,,,62.0,317.0,723.0,4288.0,62.0,8.0,361.0,36.0,16.0,3.0,,10.0,95.0,338.0,74.0,40.0,,2606.0,6.0,,17.0,28.0,432.0,435.0,65.0,5.0,2607.0,488.0,5685.0,601.0,44.0,454.0,169.0,110.0,954.0,171.0,48.0,173.0,9.0,5432.0,71.0,15.0,19.0,16.0,300.0,,19.0,15.0,32.0,25.0,9.0,,,139.0,5.0,5.0,,,10.0,16565.0,69.0,72.0,5.0,,101.0,4.0,3.0,219.0,43.0,69.0,343.0,,420.0,,503.0,46.0,14.0,1013.0,8686.0,120.0,18.0,7.0,190.0,496.0,5.0,,7.0,,24.0,,93.0,22.0,5.0,26.0,56.0,19.0,5.0,25.0,170.0,96.0,245.0,67.0,3.0,,68.0,51.0,458.0,1411.0,11.0,31.0,734.0,6.0,50.0,22.0,25.0,233.0,16.0,,63.0,271.0,43.0,781.0,24.0,27.0,136.0,137.0,5761.0,8.0,23.0,15.0,85365.0
"Miami-Fort Lauderdale-Pompano Beach, FL",,28.0,22.0,11.0,,30.0,1445.0,15.0,9.0,34.0,24.0,13.0,293.0,3.0,387.0,31.0,76.0,27.0,44.0,6.0,6.0,,206.0,8.0,,1834.0,,79.0,,69.0,,7.0,22.0,459.0,5.0,17.0,,,353.0,682.0,5833.0,,7.0,6.0,270.0,12.0,25116.0,3.0,10.0,17.0,,20.0,1979.0,998.0,95.0,372.0,7.0,13.0,43.0,,27.0,,,5.0,20.0,208.0,39.0,30.0,11.0,533.0,,,196.0,8113.0,990.0,24.0,100.0,,520.0,16.0,156.0,45.0,24.0,296.0,229.0,4069.0,66.0,75.0,33.0,29.0,,81.0,20.0,13.0,8.0,21.0,67.0,,6.0,5.0,28.0,,32.0,,,17.0,,,,,,1171.0,53.0,,,,98.0,,,35.0,47.0,17.0,1342.0,,117.0,,324.0,189.0,67.0,2422.0,499.0,112.0,31.0,,222.0,249.0,,36.0,43.0,11.0,,,26.0,8.0,21.0,8.0,11.0,18.0,3.0,,148.0,309.0,13.0,15.0,33.0,,47.0,35.0,33.0,33.0,,11.0,136.0,,,523.0,14.0,159.0,11.0,16.0,5.0,168.0,14.0,350.0,19.0,409.0,46.0,3897.0,290.0,3.0,,21.0,71136.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",248.0,58.0,87.0,9.0,,12.0,133.0,38.0,,52.0,11.0,30.0,7.0,15.0,802.0,18.0,59.0,30.0,4.0,83.0,,116.0,772.0,11.0,9.0,292.0,,91.0,42.0,280.0,13.0,93.0,1595.0,267.0,,,21.0,21.0,77.0,1924.0,513.0,,92.0,70.0,46.0,16.0,64.0,3.0,16.0,16.0,8.0,5.0,500.0,204.0,326.0,2878.0,256.0,6.0,2965.0,,16.0,,11.0,61.0,46.0,240.0,1132.0,31.0,25.0,512.0,130.0,4.0,159.0,179.0,403.0,31.0,33.0,3.0,3186.0,95.0,955.0,459.0,35.0,96.0,88.0,504.0,138.0,124.0,58.0,230.0,5.0,1232.0,25.0,29.0,17.0,8.0,96.0,,244.0,14.0,32.0,,17.0,25.0,16.0,63.0,56.0,3.0,,7.0,8.0,723.0,54.0,110.0,,,353.0,4.0,3.0,765.0,32.0,24.0,155.0,7.0,1004.0,3.0,1167.0,50.0,32.0,1030.0,1543.0,82.0,26.0,19.0,110.0,359.0,26.0,4.0,17.0,10.0,,,94.0,111.0,12.0,572.0,13.0,17.0,,75.0,98.0,50.0,149.0,303.0,4.0,3.0,28.0,25.0,61.0,193.0,33.0,68.0,257.0,217.0,,185.0,51.0,215.0,5.0,,86.0,150.0,44.0,387.0,23.0,46.0,81.0,156.0,991.0,29.0,33.0,40.0,38802.0
"Chicago-Joliet-Naperville, IL-IN-WI",20.0,163.0,66.0,,,,76.0,14.0,,61.0,13.0,29.0,10.0,8.0,151.0,,115.0,8.0,118.0,40.0,,267.0,41.0,71.0,,159.0,,495.0,8.0,273.0,6.0,41.0,121.0,313.0,,,,,35.0,2479.0,340.0,,39.0,29.0,16.0,20.0,104.0,,20.0,8.0,,,133.0,393.0,123.0,164.0,43.0,13.0,253.0,4.0,9.0,,9.0,4.0,26.0,164.0,291.0,53.0,,338.0,15.0,,17.0,101.0,121.0,50.0,19.0,,4173.0,59.0,265.0,1188.0,61.0,119.0,72.0,153.0,145.0,404.0,38.0,61.0,,757.0,64.0,20.0,9.0,18.0,80.0,,64.0,9.0,308.0,,143.0,,,62.0,16.0,,,4.0,,7049.0,94.0,69.0,16.0,,153.0,,,251.0,24.0,29.0,48.0,,586.0,,1018.0,22.0,12.0,177.0,2052.0,2184.0,4.0,15.0,405.0,290.0,11.0,5.0,3.0,5.0,,,112.0,24.0,36.0,16.0,28.0,49.0,6.0,48.0,54.0,50.0,42.0,54.0,,,40.0,18.0,266.0,109.0,9.0,24.0,198.0,57.0,,31.0,11.0,147.0,9.0,,44.0,774.0,37.0,285.0,6.0,8.0,97.0,83.0,490.0,95.0,22.0,23.0,34336.0
"San Francisco-Oakland-Fremont, CA",187.0,7.0,188.0,,,,55.0,29.0,,105.0,17.0,18.0,,4.0,81.0,4.0,66.0,20.0,11.0,,,157.0,24.0,19.0,,311.0,,80.0,,532.0,3.0,51.0,33.0,394.0,,,,,37.0,7479.0,158.0,,12.0,6.0,19.0,5.0,41.0,5.0,17.0,18.0,,,22.0,36.0,76.0,866.0,136.0,7.0,333.0,211.0,15.0,,,6.0,19.0,234.0,43.0,15.0,,628.0,5.0,,7.0,15.0,97.0,417.0,41.0,4.0,3619.0,156.0,544.0,105.0,97.0,119.0,92.0,31.0,290.0,85.0,30.0,80.0,,526.0,22.0,17.0,23.0,7.0,44.0,,29.0,4.0,10.0,39.0,4.0,,3.0,105.0,,,,,,2469.0,27.0,165.0,,,59.0,,,448.0,38.0,37.0,190.0,,164.0,,353.0,21.0,12.0,413.0,4130.0,54.0,5.0,4.0,66.0,248.0,,,3.0,,11.0,,34.0,10.0,7.0,16.0,57.0,25.0,,8.0,63.0,64.0,78.0,20.0,3.0,,57.0,31.0,37.0,458.0,9.0,15.0,170.0,10.0,75.0,7.0,20.0,142.0,10.0,,27.0,125.0,8.0,466.0,8.0,7.0,53.0,51.0,1164.0,215.0,6.0,11.0,31991.0
"Houston-Sugar Land-Baytown, TX",20.0,28.0,25.0,14.0,,4.0,199.0,9.0,,49.0,7.0,42.0,9.0,9.0,224.0,9.0,11.0,18.0,56.0,7.0,,364.0,67.0,15.0,,204.0,,20.0,13.0,340.0,24.0,86.0,212.0,375.0,,,4.0,7.0,62.0,1539.0,804.0,,61.0,54.0,58.0,6.0,508.0,,4.0,10.0,,13.0,138.0,136.0,120.0,1564.0,63.0,,280.0,,5.0,,16.0,5.0,10.0,100.0,110.0,16.0,6.0,303.0,13.0,,29.0,31.0,428.0,51.0,13.0,,2108.0,80.0,473.0,495.0,23.0,55.0,45.0,125.0,76.0,114.0,46.0,167.0,,306.0,34.0,,9.0,5.0,159.0,,71.0,18.0,4.0,8.0,8.0,,3.0,63.0,19.0,,,3.0,3.0,7792.0,12.0,7.0,,,81.0,,,282.0,29.0,12.0,112.0,,1277.0,,1106.0,41.0,8.0,217.0,884.0,39.0,8.0,12.0,71.0,145.0,16.0,5.0,35.0,3.0,,,46.0,21.0,,33.0,31.0,,,18.0,60.0,60.0,39.0,52.0,,,19.0,15.0,50.0,173.0,,64.0,267.0,9.0,,119.0,10.0,167.0,7.0,,25.0,78.0,64.0,513.0,14.0,22.0,18.0,689.0,2337.0,4.0,12.0,15.0,30792.0
"Dallas-Fort Worth-Arlington, TX",46.0,30.0,10.0,,,,92.0,13.0,,46.0,6.0,6.0,12.0,4.0,328.0,,12.0,7.0,16.0,8.0,3.0,513.0,15.0,24.0,4.0,225.0,,37.0,5.0,1029.0,43.0,61.0,212.0,310.0,,,4.0,7.0,40.0,1047.0,349.0,,231.0,101.0,37.0,8.0,215.0,,3.0,12.0,3.0,,73.0,80.0,161.0,676.0,97.0,,559.0,,32.0,,5.0,26.0,8.0,84.0,187.0,9.0,8.0,190.0,13.0,,12.0,18.0,145.0,39.0,20.0,,2582.0,57.0,446.0,682.0,25.0,73.0,45.0,69.0,94.0,168.0,11.0,558.0,,551.0,43.0,4.0,34.0,,79.0,,87.0,5.0,6.0,,17.0,,6.0,139.0,,,,,4.0,7492.0,10.0,4.0,,,74.0,4.0,,699.0,21.0,17.0,27.0,,732.0,3.0,657.0,26.0,5.0,232.0,612.0,34.0,5.0,13.0,52.0,106.0,33.0,4.0,,,,,56.0,21.0,3.0,35.0,16.0,,,78.0,74.0,25.0,62.0,89.0,,,11.0,4.0,60.0,192.0,3.0,63.0,359.0,32.0,8.0,31.0,10.0,48.0,,,35.0,74.0,39.0,270.0,7.0,18.0,25.0,136.0,1496.0,7.0,51.0,158.0,27859.0
"Boston-Cambridge-Quincy, MA-NH",8.0,287.0,89.0,32.0,,9.0,51.0,71.0,3.0,55.0,16.0,16.0,6.0,7.0,219.0,14.0,91.0,18.0,,7.0,,77.0,40.0,17.0,,1342.0,,92.0,,79.0,,309.0,121.0,434.0,1281.0,,,,27.0,2699.0,597.0,,63.0,32.0,45.0,12.0,40.0,3.0,7.0,7.0,,8.0,3478.0,88.0,173.0,463.0,32.0,3.0,312.0,,7.0,,5.0,8.0,14.0,137.0,186.0,65.0,11.0,306.0,58.0,4.0,43.0,1823.0,114.0,90.0,20.0,7.0,1731.0,68.0,168.0,226.0,142.0,120.0,95.0,324.0,159.0,50.0,25.0,340.0,,324.0,21.0,13.0,8.0,17.0,144.0,,81.0,8.0,38.0,,9.0,,,36.0,8.0,,,4.0,,161.0,47.0,8.0,,10.0,553.0,,,336.0,43.0,11.0,13.0,,296.0,,242.0,22.0,7.0,157.0,256.0,99.0,75.0,4.0,84.0,281.0,18.0,5.0,11.0,7.0,,3.0,24.0,32.0,7.0,46.0,18.0,9.0,3.0,91.0,48.0,65.0,41.0,55.0,,,25.0,14.0,65.0,129.0,,25.0,121.0,8.0,,91.0,8.0,136.0,11.0,,239.0,142.0,15.0,391.0,5.0,16.0,30.0,135.0,799.0,,7.0,49.0,25586.0
"Atlanta-Sandy Springs-Marietta, GA",43.0,12.0,21.0,6.0,,13.0,82.0,7.0,,38.0,7.0,7.0,56.0,3.0,451.0,9.0,43.0,20.0,14.0,29.0,6.0,621.0,21.0,30.0,8.0,472.0,,89.0,18.0,674.0,12.0,47.0,243.0,250.0,3.0,,6.0,4.0,45.0,1032.0,715.0,,146.0,86.0,63.0,5.0,179.0,,9.0,15.0,,11.0,199.0,113.0,51.0,229.0,82.0,,746.0,4.0,,,23.0,123.0,20.0,147.0,477.0,9.0,11.0,169.0,89.0,,121.0,295.0,124.0,23.0,14.0,3.0,1823.0,61.0,307.0,294.0,10.0,92.0,34.0,797.0,76.0,33.0,20.0,430.0,,1018.0,21.0,6.0,14.0,25.0,55.0,,197.0,10.0,15.0,,4.0,,6.0,97.0,22.0,,,3.0,,1593.0,37.0,,,3.0,97.0,,3.0,288.0,33.0,12.0,56.0,,900.0,,329.0,50.0,9.0,276.0,242.0,53.0,6.0,5.0,127.0,117.0,11.0,11.0,24.0,5.0,,,20.0,88.0,,86.0,9.0,5.0,,79.0,113.0,45.0,32.0,83.0,4.0,,31.0,11.0,26.0,102.0,8.0,45.0,289.0,111.0,,112.0,7.0,75.0,,,18.0,99.0,7.0,261.0,4.0,126.0,32.0,271.0,931.0,4.0,45.0,65.0,21744.0
"San Diego-Carlsbad-San Marcos, CA",60.0,11.0,8.0,,,,22.0,22.0,,48.0,8.0,10.0,,,18.0,,22.0,7.0,5.0,,,25.0,17.0,4.0,,189.0,,41.0,,134.0,10.0,52.0,12.0,233.0,,,,,13.0,762.0,102.0,,20.0,4.0,14.0,7.0,43.0,,9.0,14.0,,,19.0,22.0,59.0,77.0,44.0,,179.0,5.0,34.0,,,3.0,,81.0,14.0,13.0,,201.0,4.0,,6.0,12.0,27.0,23.0,17.0,,698.0,44.0,454.0,3808.0,11.0,63.0,70.0,32.0,249.0,93.0,15.0,65.0,,384.0,10.0,7.0,25.0,11.0,73.0,,10.0,5.0,4.0,,6.0,,,19.0,,,,,,7204.0,21.0,4.0,,,27.0,,,53.0,17.0,17.0,6.0,,35.0,4.0,70.0,10.0,3.0,71.0,2500.0,27.0,6.0,4.0,38.0,116.0,7.0,,,,5.0,,18.0,6.0,3.0,7.0,12.0,4.0,4.0,105.0,55.0,29.0,17.0,19.0,,,30.0,13.0,53.0,117.0,,20.0,139.0,10.0,,5.0,3.0,91.0,,,15.0,72.0,16.0,182.0,14.0,6.0,39.0,34.0,983.0,4.0,6.0,9.0,21327.0
