NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,Comoros,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21.0,236.0,148.0,3.0,,8.0,49.0,26.0,,43.0,8.0,19.0,6.0,,596.0,17.0,80.0,6.0,7.0,30.0,,115.0,8.0,8.0,,146.0,,32.0,24.0,186.0,5.0,134.0,90.0,200.0,,,,,29.0,1886.0,210.0,,14.0,23.0,48.0,4.0,56.0,,5.0,5.0,,7.0,934.0,115.0,242.0,56.0,21.0,,162.0,3.0,,,5.0,5.0,83.0,121.0,286.0,44.0,10.0,67.0,96.0,,79.0,426.0,46.0,24.0,17.0,,2351.0,114.0,102.0,223.0,41.0,81.0,54.0,600.0,59.0,45.0,28.0,199.0,,422.0,16.0,21.0,10.0,13.0,59.0,,793.0,13.0,36.0,,7.0,,,26.0,63.0,,,20.0,4.0,631.0,53.0,7.0,,,216.0,,,112.0,14.0,6.0,31.0,3.0,372.0,,331.0,13.0,,105.0,495.0,141.0,12.0,10.0,73.0,209.0,4.0,7.0,16.0,16.0,,,27.0,30.0,,228.0,10.0,10.0,,5.0,44.0,15.0,28.0,91.0,,,21.0,4.0,43.0,67.0,8.0,22.0,125.0,45.0,,139.0,17.0,201.0,5.0,,27.0,348.0,9.0,210.0,7.0,9.0,226.0,68.0,774.0,16.0,12.0,23.0,18571.0
"San Jose-Sunnyvale-Santa Clara, CA",40.0,,8.0,,,,27.0,23.0,,30.0,15.0,15.0,,,49.0,,46.0,23.0,3.0,,,7.0,14.0,13.0,,76.0,,23.0,,68.0,,59.0,29.0,239.0,,,,,12.0,2557.0,74.0,,4.0,6.0,11.0,7.0,5.0,,6.0,5.0,,,8.0,12.0,38.0,125.0,46.0,3.0,243.0,44.0,20.0,,,,27.0,106.0,4.0,9.0,,56.0,,,8.0,7.0,41.0,122.0,19.0,3.0,3951.0,55.0,602.0,124.0,31.0,170.0,35.0,5.0,207.0,26.0,19.0,27.0,,548.0,13.0,9.0,5.0,4.0,24.0,,,,6.0,6.0,,,,56.0,4.0,,,,,1459.0,14.0,3.0,,,16.0,,,125.0,44.0,19.0,25.0,,33.0,3.0,158.0,6.0,5.0,122.0,1632.0,32.0,13.0,,47.0,209.0,,,,,6.0,,14.0,,6.0,17.0,40.0,7.0,,14.0,13.0,36.0,36.0,16.0,,,16.0,9.0,19.0,512.0,,4.0,60.0,,34.0,3.0,3.0,52.0,7.0,,,65.0,11.0,174.0,,,11.0,22.0,2777.0,,,3.0,18314.0
"Seattle-Tacoma-Bellevue, WA",22.0,29.0,8.0,,,,37.0,26.0,,64.0,11.0,33.0,,,60.0,,82.0,8.0,4.0,,,358.0,8.0,13.0,,89.0,,64.0,7.0,263.0,8.0,231.0,22.0,410.0,,,,,25.0,1625.0,97.0,,39.0,30.0,18.0,4.0,17.0,3.0,10.0,15.0,10.0,,17.0,23.0,91.0,65.0,247.0,5.0,974.0,77.0,13.0,,4.0,113.0,7.0,115.0,63.0,7.0,,69.0,18.0,,5.0,22.0,29.0,82.0,7.0,,1911.0,132.0,295.0,379.0,33.0,74.0,29.0,32.0,228.0,29.0,52.0,420.0,,739.0,18.0,13.0,23.0,10.0,27.0,,13.0,9.0,8.0,,10.0,,,57.0,16.0,4.0,,6.0,,816.0,238.0,56.0,,,53.0,,,234.0,22.0,14.0,31.0,,54.0,,163.0,15.0,,100.0,1469.0,38.0,5.0,,112.0,276.0,,,,,31.0,,28.0,14.0,5.0,23.0,13.0,6.0,,352.0,40.0,14.0,38.0,41.0,,,26.0,11.0,16.0,210.0,6.0,30.0,181.0,10.0,7.0,10.0,8.0,74.0,13.0,,31.0,363.0,13.0,220.0,,,45.0,30.0,1525.0,26.0,20.0,9.0,17555.0
"Riverside-San Bernardino-Ontario, CA",32.0,7.0,6.0,,,,50.0,5.0,,22.0,,,3.0,,86.0,,7.0,,19.0,,,,12.0,,,50.0,,11.0,5.0,32.0,,60.0,20.0,123.0,,,,,17.0,709.0,149.0,,4.0,5.0,28.0,3.0,47.0,,3.0,,,,14.0,68.0,182.0,407.0,9.0,,38.0,12.0,,,,,4.0,44.0,36.0,11.0,,310.0,,,5.0,10.0,61.0,36.0,6.0,,502.0,234.0,130.0,107.0,10.0,29.0,14.0,44.0,54.0,72.0,9.0,65.0,,320.0,14.0,,7.0,,58.0,,,,,,,3.0,,24.0,,,,,,6608.0,9.0,,,,22.0,,,38.0,10.0,7.0,65.0,,139.0,,134.0,13.0,,166.0,1734.0,12.0,,,53.0,31.0,6.0,,,,6.0,,23.0,3.0,,9.0,8.0,5.0,,,13.0,7.0,28.0,16.0,,,11.0,,109.0,153.0,,4.0,86.0,,14.0,4.0,3.0,18.0,3.0,,7.0,32.0,10.0,74.0,5.0,17.0,4.0,29.0,545.0,3.0,,9.0,14769.0
"Phoenix-Mesa-Glendale, AZ",43.0,24.0,4.0,,,3.0,21.0,3.0,,24.0,9.0,9.0,4.0,,86.0,3.0,10.0,5.0,5.0,4.0,,282.0,10.0,24.0,,77.0,,44.0,7.0,510.0,19.0,27.0,52.0,312.0,,,,5.0,18.0,540.0,89.0,,84.0,22.0,23.0,3.0,221.0,,,,,,52.0,35.0,41.0,95.0,25.0,,144.0,5.0,13.0,,4.0,4.0,,78.0,37.0,9.0,,136.0,10.0,,3.0,27.0,42.0,10.0,14.0,,903.0,35.0,244.0,1089.0,23.0,23.0,15.0,49.0,42.0,54.0,14.0,126.0,,146.0,20.0,3.0,4.0,5.0,57.0,,58.0,4.0,,,17.0,,,36.0,6.0,,,3.0,,4472.0,24.0,,,,9.0,4.0,,150.0,12.0,9.0,16.0,,84.0,,90.0,9.0,3.0,70.0,627.0,36.0,6.0,,115.0,37.0,23.0,,,,3.0,,20.0,6.0,5.0,24.0,7.0,4.0,,121.0,45.0,14.0,12.0,55.0,,,14.0,10.0,47.0,50.0,,26.0,299.0,7.0,11.0,11.0,,57.0,,,9.0,47.0,7.0,174.0,,5.0,37.0,26.0,480.0,,22.0,12.0,13849.0
"Detroit-Warren-Livonia, MI",,492.0,17.0,,,,7.0,12.0,,15.0,11.0,6.0,4.0,3.0,831.0,,10.0,6.0,,5.0,,,,20.0,,57.0,,26.0,,7.0,,5.0,45.0,366.0,,,,,3.0,493.0,26.0,,16.0,11.0,6.0,3.0,6.0,,7.0,5.0,,,37.0,9.0,102.0,22.0,,,29.0,,5.0,,4.0,13.0,4.0,112.0,46.0,17.0,,8.0,15.0,,6.0,8.0,15.0,8.0,8.0,,1156.0,11.0,69.0,3099.0,4.0,36.0,26.0,58.0,75.0,131.0,,22.0,,152.0,25.0,,5.0,,649.0,,37.0,8.0,5.0,,54.0,,,14.0,,,,3.0,,589.0,9.0,,30.0,,32.0,,,41.0,9.0,,6.0,,147.0,,239.0,,3.0,20.0,302.0,99.0,,15.0,176.0,66.0,,,,,,,42.0,34.0,3.0,13.0,3.0,4.0,,,23.0,12.0,14.0,17.0,,,6.0,6.0,131.0,38.0,,,35.0,12.0,,9.0,10.0,36.0,,,15.0,167.0,15.0,167.0,3.0,,28.0,18.0,140.0,570.0,3.0,7.0,11992.0
"Orlando-Kissimmee-Sanford, FL",,8.0,6.0,,3.0,14.0,79.0,7.0,9.0,19.0,,5.0,22.0,,108.0,5.0,20.0,11.0,5.0,,,,18.0,8.0,5.0,386.0,,23.0,,24.0,,5.0,11.0,121.0,4.0,,,,26.0,323.0,950.0,,9.0,,55.0,,597.0,,3.0,13.0,,,612.0,152.0,69.0,39.0,4.0,4.0,33.0,,,,,,8.0,59.0,45.0,3.0,3.0,44.0,,3.0,154.0,1287.0,75.0,10.0,11.0,5.0,234.0,12.0,87.0,34.0,10.0,22.0,26.0,436.0,40.0,37.0,11.0,22.0,,71.0,6.0,5.0,,3.0,31.0,,6.0,4.0,7.0,,6.0,,,13.0,,,,,,335.0,41.0,,,,217.0,,,10.0,6.0,3.0,33.0,,53.0,,83.0,31.0,8.0,280.0,417.0,23.0,9.0,4.0,20.0,69.0,,5.0,25.0,9.0,,,12.0,4.0,4.0,5.0,,3.0,,3.0,40.0,23.0,11.0,6.0,6.0,,7.0,,26.0,20.0,,12.0,28.0,,,163.0,19.0,43.0,,6.0,3.0,41.0,9.0,252.0,,27.0,41.0,569.0,317.0,3.0,9.0,8.0,10046.0
"Minneapolis-St. Paul-Bloomington, MN-WI",8.0,10.0,4.0,,,,15.0,,,15.0,7.0,9.0,3.0,,58.0,,41.0,6.0,5.0,5.0,,96.0,5.0,11.0,,53.0,,18.0,,463.0,,113.0,175.0,160.0,,,,,19.0,465.0,83.0,,36.0,17.0,11.0,,17.0,,,6.0,16.0,,23.0,136.0,80.0,72.0,51.0,,864.0,5.0,3.0,,,30.0,,36.0,148.0,4.0,,43.0,45.0,,87.0,23.0,23.0,4.0,10.0,,701.0,26.0,58.0,92.0,16.0,16.0,9.0,44.0,28.0,22.0,18.0,579.0,,105.0,5.0,27.0,173.0,5.0,28.0,,564.0,6.0,12.0,,3.0,6.0,,17.0,3.0,,6.0,,4.0,569.0,52.0,3.0,,,23.0,,,117.0,8.0,7.0,8.0,,218.0,,58.0,6.0,,46.0,215.0,20.0,,,24.0,114.0,,,,,,,26.0,10.0,,40.0,7.0,5.0,,733.0,16.0,11.0,25.0,40.0,,,18.0,12.0,11.0,27.0,4.0,21.0,366.0,83.0,,17.0,9.0,31.0,,,24.0,82.0,10.0,105.0,,3.0,15.0,28.0,513.0,13.0,14.0,10.0,10027.0
"Denver-Aurora-Broomfield, CO",13.0,3.0,17.0,,,,24.0,15.0,,37.0,3.0,11.0,,,36.0,,39.0,5.0,,4.0,,397.0,11.0,10.0,,68.0,,43.0,7.0,382.0,6.0,17.0,28.0,155.0,,,10.0,,26.0,425.0,82.0,,85.0,31.0,5.0,,27.0,,,8.0,,,16.0,22.0,22.0,87.0,80.0,,596.0,5.0,,,3.0,3.0,12.0,46.0,160.0,4.0,,56.0,7.0,,,17.0,23.0,12.0,5.0,,334.0,55.0,90.0,193.0,7.0,21.0,16.0,16.0,39.0,31.0,16.0,58.0,,127.0,9.0,,3.0,4.0,17.0,,16.0,20.0,6.0,,3.0,,,25.0,16.0,,,8.0,,2161.0,35.0,50.0,,,71.0,,,326.0,12.0,13.0,7.0,,70.0,,35.0,8.0,5.0,92.0,167.0,33.0,3.0,6.0,22.0,125.0,13.0,,,,,,29.0,7.0,,9.0,5.0,7.0,,94.0,51.0,24.0,16.0,88.0,,,7.0,4.0,8.0,32.0,29.0,15.0,230.0,31.0,,10.0,5.0,32.0,5.0,,27.0,74.0,3.0,98.0,,4.0,26.0,36.0,429.0,,5.0,10.0,9040.0
"Tampa-St. Petersburg-Clearwater, FL",,110.0,6.0,,,6.0,37.0,3.0,,18.0,6.0,,26.0,,60.0,8.0,4.0,,,,,,8.0,27.0,3.0,160.0,,49.0,,48.0,,8.0,17.0,168.0,,,,,17.0,280.0,574.0,,,,35.0,8.0,2152.0,,4.0,4.0,,6.0,285.0,105.0,97.0,62.0,6.0,,39.0,,4.0,,,,4.0,76.0,26.0,21.0,,56.0,,,36.0,237.0,92.0,3.0,33.0,,433.0,15.0,52.0,86.0,6.0,23.0,26.0,280.0,30.0,59.0,3.0,16.0,,41.0,12.0,4.0,11.0,,34.0,,5.0,7.0,16.0,,6.0,,,11.0,,,,,,443.0,10.0,,3.0,,55.0,,,17.0,11.0,6.0,27.0,,68.0,,47.0,35.0,7.0,190.0,309.0,67.0,,,22.0,61.0,,9.0,9.0,5.0,,,13.0,5.0,,8.0,7.0,4.0,,,42.0,24.0,8.0,,4.0,,11.0,3.0,31.0,13.0,,4.0,57.0,13.0,,75.0,7.0,45.0,,,3.0,54.0,10.0,159.0,,12.0,4.0,173.0,405.0,,3.0,8.0,8816.0
"Las Vegas-Paradise, NV",19.0,16.0,,,,,37.0,62.0,,29.0,3.0,,,,31.0,,8.0,,9.0,,,48.0,10.0,12.0,,69.0,,90.0,,19.0,,13.0,21.0,126.0,,,,,10.0,610.0,94.0,,25.0,9.0,7.0,4.0,672.0,,3.0,5.0,,,54.0,29.0,13.0,264.0,63.0,,480.0,6.0,4.0,,,,4.0,41.0,13.0,11.0,,129.0,,,,13.0,39.0,14.0,24.0,,127.0,35.0,94.0,99.0,,63.0,19.0,28.0,56.0,12.0,11.0,44.0,,153.0,5.0,,5.0,,28.0,,10.0,,5.0,,10.0,,,11.0,,,,,,1814.0,21.0,9.0,,,19.0,,,38.0,8.0,6.0,49.0,,36.0,,43.0,8.0,,105.0,1662.0,22.0,,,46.0,42.0,,,,,3.0,,5.0,4.0,3.0,3.0,5.0,,,9.0,18.0,5.0,26.0,11.0,,,9.0,,8.0,34.0,,7.0,102.0,8.0,5.0,,,19.0,,,6.0,47.0,,74.0,3.0,8.0,5.0,23.0,123.0,,,3.0,8581.0
"Sacramento--Arden-Arcade--Roseville, CA",56.0,,7.0,,,,11.0,47.0,,23.0,4.0,4.0,,,25.0,,30.0,3.0,,,,22.0,4.0,4.0,,36.0,,14.0,,21.0,,22.0,4.0,92.0,,,,,8.0,660.0,38.0,,12.0,3.0,8.0,,3.0,,,5.0,,,5.0,12.0,31.0,65.0,,,92.0,310.0,,,,,16.0,46.0,16.0,,,34.0,,,3.0,,20.0,18.0,11.0,,1077.0,31.0,243.0,227.0,6.0,10.0,10.0,10.0,54.0,40.0,51.0,44.0,,112.0,7.0,19.0,31.0,4.0,22.0,,25.0,,,3.0,,,,13.0,,,,,,1123.0,317.0,18.0,,,17.0,,,100.0,12.0,16.0,7.0,,63.0,,271.0,13.0,,38.0,836.0,19.0,,,53.0,170.0,,,,,9.0,,6.0,,,14.0,,,,,27.0,11.0,17.0,,,,7.0,,13.0,50.0,,,59.0,,17.0,4.0,5.0,15.0,,,8.0,387.0,5.0,86.0,,,36.0,19.0,538.0,10.0,7.0,,8307.0
"Baltimore-Towson, MD",4.0,20.0,9.0,3.0,,,22.0,13.0,,15.0,,4.0,4.0,,68.0,5.0,22.0,5.0,6.0,10.0,,154.0,13.0,11.0,,62.0,,27.0,8.0,300.0,5.0,5.0,243.0,77.0,,,4.0,,18.0,587.0,78.0,,29.0,16.0,7.0,,17.0,,3.0,4.0,,,96.0,25.0,55.0,167.0,49.0,4.0,212.0,,5.0,,5.0,11.0,13.0,33.0,176.0,17.0,3.0,45.0,12.0,,29.0,42.0,58.0,15.0,7.0,,766.0,9.0,146.0,109.0,10.0,30.0,20.0,210.0,34.0,24.0,8.0,161.0,,338.0,9.0,5.0,5.0,9.0,12.0,,126.0,4.0,7.0,,,,3.0,34.0,22.0,,,4.0,,166.0,15.0,4.0,,,46.0,,,310.0,9.0,7.0,13.0,,555.0,,342.0,9.0,4.0,81.0,442.0,22.0,5.0,,38.0,73.0,,,6.0,,,,9.0,20.0,4.0,36.0,,3.0,,6.0,23.0,6.0,12.0,20.0,,,4.0,,26.0,41.0,3.0,14.0,35.0,12.0,,101.0,,48.0,,,14.0,63.0,9.0,67.0,,,65.0,24.0,179.0,4.0,9.0,9.0,8075.0
"Portland-Vancouver-Hillsboro, OR-WA",5.0,,,,,,13.0,7.0,,32.0,,6.0,,,31.0,,25.0,5.0,8.0,,,98.0,10.0,12.0,,28.0,,8.0,,110.0,5.0,37.0,10.0,147.0,,,,,17.0,573.0,39.0,,36.0,15.0,5.0,,78.0,,4.0,6.0,,,8.0,,40.0,32.0,10.0,,188.0,24.0,3.0,,,5.0,10.0,55.0,25.0,,,124.0,,,,16.0,18.0,18.0,3.0,,427.0,29.0,78.0,207.0,11.0,14.0,10.0,12.0,80.0,32.0,25.0,48.0,,126.0,9.0,20.0,15.0,,8.0,,24.0,13.0,,3.0,,,,12.0,,,,,,751.0,101.0,,,,13.0,,,79.0,7.0,17.0,6.0,,33.0,,32.0,,,39.0,305.0,9.0,,,106.0,152.0,5.0,,,,,,6.0,7.0,,6.0,6.0,,,95.0,17.0,5.0,8.0,7.0,,,4.0,6.0,16.0,103.0,6.0,16.0,125.0,,3.0,,,22.0,6.0,,6.0,214.0,,102.0,,3.0,24.0,13.0,680.0,6.0,,8.0,6327.0
"Austin-Round Rock-San Marcos, TX",7.0,6.0,18.0,,,,10.0,8.0,,25.0,5.0,,,,50.0,3.0,5.0,,7.0,5.0,,98.0,8.0,,,63.0,,6.0,,144.0,5.0,10.0,34.0,101.0,,,,,12.0,284.0,56.0,,11.0,21.0,11.0,3.0,225.0,3.0,,7.0,,,17.0,10.0,11.0,35.0,,3.0,67.0,,,,7.0,,,48.0,28.0,3.0,,42.0,,,,8.0,61.0,11.0,,,673.0,22.0,65.0,172.0,13.0,15.0,12.0,4.0,29.0,21.0,6.0,29.0,,126.0,4.0,,3.0,,22.0,,14.0,,,,5.0,,,27.0,,,,,,1732.0,7.0,,,,32.0,,,101.0,10.0,8.0,14.0,,80.0,,104.0,10.0,,49.0,142.0,9.0,8.0,,19.0,29.0,6.0,,,,,,4.0,,,,6.0,,,5.0,12.0,15.0,11.0,9.0,,,11.0,6.0,6.0,50.0,,15.0,86.0,,,6.0,,30.0,,,3.0,17.0,,126.0,,,,45.0,256.0,,,7.0,5950.0
"El Paso, TX",,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,6.0,,,,4.0,,,,7.0,,,,,,33.0,19.0,,,,4.0,,14.0,,,,,,7.0,6.0,,,,,,,,,,,,43.0,8.0,,,,,,,,6.0,3.0,,,22.0,,7.0,27.0,,,3.0,6.0,11.0,7.0,,7.0,,26.0,,,,,4.0,,,,,,,,,4.0,,,,,,5083.0,,,,,5.0,,,,,,4.0,,16.0,,,3.0,,10.0,55.0,,,,,5.0,,,,,,,4.0,,,,,,,,,6.0,,,,,,,6.0,14.0,,,,,,,,5.0,,,,5.0,,9.0,5.0,,,13.0,18.0,,,,5558.0
"Honolulu, HI",,,,,,,,,,22.0,,,,,4.0,,5.0,,,,,,,,,34.0,,4.0,,15.0,,5.0,,42.0,,,,,,814.0,9.0,,,,,,,,,,,,,,,,,,7.0,8.0,,8.0,,,,25.0,,,,,,,,,6.0,38.0,4.0,,13.0,18.0,4.0,7.0,3.0,5.0,11.0,6.0,442.0,,,8.0,,210.0,,,13.0,,,,,,,5.0,,,,8.0,,,,,,22.0,,,,,,,,13.0,,9.0,,,,,25.0,7.0,,9.0,3117.0,6.0,,,3.0,22.0,,,,,55.0,,,,,,10.0,5.0,,,7.0,3.0,6.0,,,,10.0,7.0,,43.0,,,52.0,,27.0,6.0,,5.0,,,,11.0,,30.0,,,,,136.0,,,,5449.0
