Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR"
Afghanistan,"12,513",329,507,9,"1,648",98,558,780,490,51,197,446,170,106,503,89,81,155,5,55,41,"2,022",95,175,76,154,153,11,181,22,15,30,45,8,,,42,55,23,93,56,11,17,172,4,3,41,,,5,
Albania,"5,773","1,681",49,64,94,293,42,12,49,497,20,18,,386,13,12,711,36,29,6,200,,31,9,21,8,13,10,,35,9,11,7,,38,,11,5,5,179,,,102,,3,183,92,,,16,
Algeria,"2,180",400,37,31,108,147,59,152,31,84,29,20,8,241,8,8,13,4,8,17,6,21,6,52,8,4,37,3,28,127,3,39,4,,,,12,,79,,15,8,14,,3,3,6,,,,
Andorra,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,198,15,,8,9,,31,,9,27,4,,,6,,,,,,,3,,,,,,,,,,16,,,,,,3,,,,,,,,,,,,,,
Anguilla,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,324,165,,12,8,,,,3,9,18,,,4,,,,,9,5,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3
Argentina,"4,091",544,262,"1,218",130,54,172,99,93,56,78,37,58,44,30,38,13,27,75,6,37,16,28,29,14,41,16,13,16,10,6,7,7,5,25,3,12,45,10,16,,7,7,3,,10,4,8,4,15,30
Armenia,"3,543",217,"2,466",12,61,16,7,48,9,62,17,21,25,28,14,5,16,9,5,,7,106,63,11,8,7,6,4,,7,12,,4,,3,4,,23,3,,,7,3,,41,5,4,3,,,
Aruba,23,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"3,239",482,432,56,55,99,80,184,59,75,47,134,62,30,73,16,22,43,28,23,20,20,26,48,22,46,31,24,13,9,6,6,27,,24,31,9,28,16,19,5,19,4,,4,8,8,,,,
Austria,432,69,40,24,12,14,12,21,8,14,9,6,13,5,4,6,4,4,4,4,3,,,,4,5,,8,,3,,3,,,4,4,4,,,,,,,,,,,,,6,
Azerbaijan,784,179,139,21,53,30,38,26,10,21,3,20,16,12,5,,3,,10,,,7,24,,10,6,,3,,4,,,,,,,6,,4,,,6,,,,,4,,,,
Bahamas,656,34,8,242,10,,13,,11,6,53,3,,4,,,5,,40,4,23,,,,11,,,,,4,,,5,,,,5,,4,7,,,,,,,,,,,
Bahrain,138,25,7,,7,19,3,4,4,,3,,7,7,5,,,3,,,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"18,723","10,159",567,437,919,125,247,95,400,285,472,65,99,707,17,111,"1,181",86,99,32,55,51,9,25,118,56,91,10,42,26,28,19,28,,112,8,93,5,37,10,3,5,94,3,,10,56,9,,15,
Barbados,371,180,4,29,14,4,4,,,10,16,,,10,,,,,4,,,,,,4,,,3,,,3,,,,,,3,,,,,,3,,,3,,,,,
Belarus,"2,127",501,83,96,44,139,16,80,7,57,25,94,101,102,25,,13,4,22,60,17,79,10,27,14,25,24,18,,13,10,3,3,,12,,20,3,,12,,6,12,3,,4,16,,,,
Belgium,691,113,62,36,21,9,23,30,25,23,33,15,21,5,11,4,10,5,6,,4,,5,6,3,7,9,8,,,,,5,,6,,4,,,,,4,,,,,6,,,,
Belize,851,134,208,23,,106,33,7,26,3,11,5,,12,4,21,,14,,,18,,12,3,6,,6,,8,,,,3,,,,,,3,4,,,,,,,,,,3,3
Benin,577,109,,,72,38,7,,12,5,24,,,30,6,,6,,,9,,,,12,10,,,9,,7,,35,,,11,,,3,,,,6,,,,,,,,,
Bermuda,99,11,,4,,3,,,4,4,13,,4,3,,,,,7,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,
Bhutan,"4,217",39,4,,19,92,51,10,145,30,256,70,,65,,,,33,,61,,,9,114,26,35,29,116,35,262,5,13,91,,,,9,28,39,,129,67,,,,73,116,,,,
Bolivia,"1,595",163,67,141,615,26,32,5,36,28,18,8,3,4,5,11,,4,11,10,18,6,14,7,,11,9,6,6,3,35,3,,,9,,3,9,3,5,3,5,11,3,,,,,,8,8
Bosnia and Herzegovina,971,79,24,13,34,107,12,6,19,10,26,26,13,10,7,10,18,23,6,9,19,5,10,15,4,8,7,6,,,,,5,,3,,,17,3,15,10,11,7,,,,9,,,,
Botswana,78,8,,,7,,,,,,5,,3,,,,,,,4,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,"13,812","1,735",511,"1,918",319,221,408,425,283,"1,462",514,188,172,178,175,46,93,70,644,53,144,42,69,57,78,55,117,100,34,33,136,29,27,5,311,35,61,122,50,72,13,33,51,14,8,212,22,7,12,70,10
Brunei,31,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"2,670",232,110,63,107,502,16,79,48,99,65,60,19,51,22,10,28,35,10,9,46,22,130,23,15,13,9,18,7,4,11,12,8,,15,6,11,7,10,18,5,12,4,,,6,11,,,5,
Burkina Faso,642,306,3,,37,3,21,,5,,16,13,,31,,,4,,,4,,,,,11,,,,,3,,7,,,,,,,4,,,16,,,,,10,,,,
Burma,"13,065",304,273,53,104,391,209,337,863,49,565,199,40,107,65,18,3,212,25,470,21,23,29,240,273,105,67,249,98,86,7,"1,071",273,,3,13,31,94,265,261,91,27,33,9,,4,22,13,,,
Burundi,415,10,3,,21,5,8,,19,7,10,5,,,16,,,21,,4,,,,8,8,7,,,,,8,,4,,,,,15,,3,5,4,,,,,,,,,
Cabo Verde,"2,242",24,,3,,,,,,"1,474",,,,3,,,,,4,,,,,,3,,,,,,614,,,,11,,,,,,,,,,,4,,,,,
Cambodia,"3,173",48,509,5,100,43,93,66,75,335,65,217,54,140,47,54,15,29,7,160,18,27,20,32,8,42,16,22,9,19,66,5,9,,9,8,4,20,4,15,10,38,3,39,22,3,15,7,,,
Cameroon,"4,899",207,99,14,"1,441",128,273,35,234,170,184,29,18,86,8,17,42,40,17,208,21,5,11,30,240,13,40,17,34,91,,22,8,,4,3,11,6,35,9,6,59,3,5,,50,6,5,5,,
Canada,"12,793","1,208",772,459,245,329,512,502,253,381,208,591,301,142,212,113,410,275,115,118,214,71,99,156,95,137,125,94,53,65,39,38,90,11,82,43,93,43,31,50,28,56,40,22,17,26,46,19,,49,
Cayman Islands,55,7,,11,,,,,,,3,,,,,,,,3,,7,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,202,12,,,15,10,,,9,,6,9,,3,,,,4,,,,,,11,10,,,,,5,,6,,,,,,,3,12,,3,,,,12,,,,,
Chad,136,14,,,8,,,,,,,,,,,,,,,,,,,4,,,,,,10,,,,,,,,,,4,,,,,,,,,,,
Chile,"1,698",222,63,318,64,42,28,45,26,37,24,39,27,24,20,25,7,21,49,16,10,11,9,23,11,15,20,14,,4,4,4,4,3,23,7,4,44,4,13,4,4,5,,,9,,,,3,4
"China, People's Republic","81,772","22,726","11,425",923,"2,060","2,078","1,706","7,517","1,218","2,485","1,012","2,088","2,705","1,689",807,"1,157",465,447,301,416,272,707,615,361,555,599,303,237,113,261,191,205,152,27,135,576,258,177,211,117,114,188,142,104,79,140,248,59,13,39,51
Colombia,"18,610","4,229",531,"4,209",413,325,742,143,261,506,551,107,56,183,80,114,38,91,817,74,486,27,82,69,70,41,80,197,95,35,165,33,42,8,218,11,67,42,21,114,25,20,85,6,9,45,13,7,10,78,120
Comoros,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic","6,791",71,52,7,225,138,115,17,595,137,300,146,8,75,40,9,4,128,14,52,8,16,22,189,94,50,44,229,33,30,13,72,78,,41,,155,96,45,39,100,75,3,,,57,37,,,,
"Congo, Republic",625,42,3,,14,38,28,5,16,7,30,39,3,3,9,,,60,12,,6,,,11,6,3,,13,3,16,7,4,5,,,,12,6,5,3,13,,,,,,9,,,,
Costa Rica,"2,224",500,78,223,48,47,50,34,51,33,61,11,11,44,17,15,5,54,63,14,49,8,16,21,12,29,28,46,8,,3,7,18,,31,3,17,10,,16,4,7,,,,4,6,3,,11,8
Cote d'Ivoire,"1,617",440,23,5,162,26,44,18,73,26,94,30,,59,18,6,19,7,3,30,5,5,11,9,23,,3,15,3,20,18,12,4,4,,4,,3,,5,7,20,4,,,11,46,,,,
Croatia,388,59,37,11,8,27,4,11,7,9,10,9,5,3,4,,9,5,,3,5,,6,5,,5,,3,,,,,,,,,,4,,3,,,,,,,6,,,,
Cuba,"66,516","1,178",252,"41,042",102,125,"3,170",62,483,57,284,20,22,74,82,77,9,519,"1,446",23,"4,234",19,"1,599",48,27,198,623,164,244,20,16,31,153,20,12,,37,26,103,519,"1,344",9,21,,,18,14,4,93,"1,307",56
Curacao,35,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,131,40,12,6,4,5,,,3,,,3,4,4,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Czechia,650,64,37,21,26,63,7,26,14,17,17,24,19,14,7,5,4,9,3,3,6,3,7,13,5,9,,,,,,,8,,,3,10,3,5,4,,,,,,5,,,,,
Czechoslovakia (former),62,10,3,3,3,3,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,521,75,45,17,17,17,20,31,6,16,21,15,15,10,5,3,,,14,5,5,3,,,10,5,,,,,,,,,12,,11,4,3,3,,3,4,,,,,,,,
Djibouti,281,4,,,6,7,,,,6,8,7,,,,,,,,59,,,,9,5,,,,,8,,,,,,,,,,,13,,,,,,,,,,
Dominica,298,101,,19,12,3,4,,6,3,7,,,5,,,,,,,4,,,,9,,,,,,,,,,8,,,,,3,,,3,,,,,,,,
Dominican Republic,"61,161","35,495",118,"2,635",635,170,201,42,161,"4,660",425,28,6,"1,593",37,26,86,51,"1,075",54,481,22,55,31,141,17,25,215,48,106,"1,465",83,8,16,461,,136,39,34,74,17,63,243,,,336,72,3,8,118,"2,513"
Ecuador,"10,757","6,249",235,770,129,383,113,34,41,87,100,21,8,121,19,34,10,19,196,243,70,3,29,15,35,10,17,120,16,16,27,8,9,5,276,,10,28,16,16,3,7,55,,,38,5,8,,14,12
Egypt,"12,045","3,624","1,323",127,475,192,251,236,341,262,91,145,91,278,64,318,159,54,169,91,183,42,31,23,97,85,25,52,27,60,55,64,763,,15,4,54,10,21,15,13,37,24,3,6,89,78,36,7,11,
El Salvador,"23,449","3,046","4,125",505,"3,669",194,"1,760","1,184",945,673,357,130,199,56,44,457,24,106,72,125,51,78,310,118,261,65,78,207,79,55,70,70,106,8,33,8,79,84,65,17,14,14,23,34,142,79,12,87,9,27,10
Equatorial Guinea,18,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"2,267",24,39,,250,40,83,162,123,36,116,175,32,38,23,3,5,45,6,63,10,9,52,77,32,26,24,33,36,67,3,46,20,,,,14,9,,5,11,13,,,,,7,,,,
Estonia,211,30,9,13,6,9,,18,,4,4,5,8,,3,,,4,7,7,3,3,3,4,5,3,,4,,,,,,,,,,,,,,3,,,,,,,,,
Ethiopia,"13,232",155,248,22,"2,938",202,268,245,568,244,713,906,184,155,154,34,26,105,14,"1,123",32,80,499,595,161,185,126,74,20,334,6,60,146,,4,,51,53,170,44,51,78,16,5,18,11,23,,,,
Fiji,866,9,45,,4,,4,194,7,,4,60,21,,5,12,,7,,,,242,6,,,29,,,,,,,,,,11,5,4,,,,,,25,,,,,,,
Finland,489,59,32,31,19,10,4,21,21,17,15,24,56,6,17,,7,7,6,6,10,,,,,6,,7,,,,,,,,,3,,,,,,,,,,3,,,,
France,"5,159",964,509,394,175,114,186,410,90,242,110,134,188,49,90,24,64,44,53,28,32,13,36,35,22,40,46,29,9,14,19,14,12,5,26,9,16,10,10,12,4,16,11,,5,11,6,,,6,4
French Polynesia,27,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Gabon,165,25,4,3,11,,10,3,8,3,13,,,,,,,,5,,,,,4,3,,,,,4,,,,,,,3,,,,,4,,,,,,,,,
Gambia,"1,247",353,7,,61,8,7,,30,9,123,143,3,15,4,3,27,4,4,38,,,,5,18,8,3,8,,34,21,,5,,3,,27,,10,,18,11,3,,,,,,,,
Georgia,"1,635",939,121,20,40,31,5,15,,12,17,8,19,116,9,3,4,,5,3,,12,5,8,16,17,6,,3,5,5,,,,10,,,8,,,3,12,,,3,,7,,,,
Germany,"5,306",648,347,170,182,127,109,260,61,176,108,128,149,71,74,54,108,43,56,38,43,30,29,61,38,67,37,67,32,26,18,17,21,20,27,27,30,17,25,15,12,21,23,11,10,13,21,7,3,39,9
Ghana,"6,949","1,891",56,20,869,227,89,44,179,118,304,28,4,228,23,39,24,33,18,95,25,7,16,116,157,22,16,53,11,375,46,18,38,6,22,,22,7,17,12,4,98,108,,,281,17,5,,,
Gibraltar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"1,451",368,73,53,45,92,30,49,17,110,20,24,20,53,12,7,24,25,7,5,30,7,11,,27,5,11,6,,7,14,3,,,11,6,3,,5,6,,,11,,,18,13,4,,,
Grenada,585,423,,14,14,,5,,5,7,8,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"13,002","1,180","2,095",654,626,310,308,"1,035",185,416,273,87,96,99,149,310,18,145,53,76,60,45,115,54,75,147,61,66,56,19,396,30,65,4,142,,17,62,67,14,63,64,19,43,14,55,20,28,10,96,16
Guinea,"1,501",720,,3,105,13,10,9,12,32,95,28,,82,,,6,4,,34,,,,10,19,4,3,10,,76,10,20,,,,,6,,4,3,3,6,,,,,3,,,,
Guinea-Bissau,37,,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Guyana,"5,771","4,182",26,172,122,13,15,3,20,43,100,3,,47,4,,9,15,184,55,38,7,,3,34,,,10,3,5,,,4,,3,,7,4,,19,,,55,,,,13,,,18,
Haiti,"23,584","5,928",35,"7,975",203,106,44,34,28,"1,855",279,25,,431,22,9,10,26,"1,481",26,290,7,16,23,24,12,15,36,14,45,117,21,31,4,334,,9,7,36,171,20,6,50,,7,58,3,,4,305,7
Honduras,"13,302","2,000",893,"1,753",762,208,928,265,386,268,276,88,66,105,50,149,28,54,127,71,164,20,88,49,117,40,143,212,101,42,53,72,66,15,62,,105,35,90,62,20,12,29,14,28,17,,13,13,84,13
Hong Kong,"2,510",446,483,44,52,49,38,369,57,77,22,117,154,34,24,25,15,8,8,11,,49,20,6,22,15,11,4,4,7,3,,,,7,40,4,,7,,,,,5,5,,3,,,,
Hungary,"1,048",182,88,79,30,26,18,32,18,23,11,16,34,13,17,12,9,12,15,7,22,11,15,9,,16,24,7,,,,4,3,3,19,9,10,5,12,11,,,,,,,,,,4,
Iceland,97,15,7,,7,,,4,4,6,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
India,"64,687","10,768","2,108",447,"2,005","4,351","2,238","3,022","2,552","1,428","1,965","1,585","2,514","2,326",414,610,"1,069",656,366,597,476,"1,081",143,229,657,399,580,579,265,451,136,464,231,40,289,21,644,121,220,209,182,316,406,638,742,276,256,487,25,19,6
Indonesia,"2,129",218,299,15,61,30,86,114,51,60,57,109,51,74,25,116,12,21,11,16,12,16,12,47,12,19,12,5,9,14,,8,3,,7,6,5,6,8,7,,5,5,,3,,8,11,,4,
Iran,"13,298",506,"4,097",138,784,264,616,567,520,262,334,294,648,108,429,111,64,187,67,66,42,230,130,79,117,115,130,45,123,58,18,43,35,,19,,61,53,39,24,26,25,28,8,46,28,47,9,,3,
Iraq,"18,904",138,479,61,547,748,"1,010",70,852,203,191,532,47,136,"1,801",74,"2,268",820,81,152,92,390,81,283,88,268,518,27,293,275,37,79,343,17,4,4,101,203,86,157,232,18,39,7,7,120,152,,,,
Ireland,"1,759",397,62,22,45,93,24,141,27,171,20,48,65,42,23,8,10,11,12,7,9,12,,14,16,22,19,16,3,4,10,4,6,,13,6,18,5,,6,,9,11,,,9,10,,,,
Israel,"4,142","1,025",487,257,72,93,51,173,102,227,114,114,339,66,64,22,29,22,20,19,27,21,72,53,15,31,45,13,7,16,6,,8,,6,3,11,5,13,10,,13,8,,,7,25,,,4,7
Italy,"4,078",846,296,561,123,113,74,155,57,167,47,55,81,67,89,19,72,21,33,18,48,15,20,27,22,21,24,30,9,20,18,13,10,,31,8,15,9,6,13,,18,20,3,,10,7,,,8,4
Jamaica,"23,350","8,470",130,"3,850",583,220,149,42,125,377,"1,032",40,9,628,35,44,78,64,853,50,350,20,28,26,257,19,19,65,32,44,54,21,23,7,391,10,40,5,31,129,12,38,618,,4,62,61,4,,126,4
