Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",NAME_LONG,ISO_A3
Japan,"4,317",536,35,663,85,42,96,185,55,96,46,194,147,146,39,44,17,26,33,26,63,20,38,32,20,42,24.0,36.0,20,17,7,9,13.0,22.0,8.0,17.0,27.0,10.0,10,318,22.0,9.0,8,14.0,7.0,12.0,3,5.0,10.0,4,3,Japan,JPN
Jordan,"5,322",405,73,239,96,208,557,110,206,52,85,43,50,113,84,85,79,46,41,82,220,70,39,36,12,31,41.0,103.0,41,45,37,12,58.0,27.0,56.0,34.0,4.0,38.0,6,,50.0,18.0,21,57.0,20.0,98.0,8,18.0,50.0,,14,Jordan,JOR
Kazakhstan,"1,378",266,62,87,52,63,52,43,18,18,25,43,58,15,27,8,8,21,7,12,,45,6,11,4,48,9.0,12.0,4,24,3,4,,,7.0,3.0,8.0,3.0,,,7.0,3.0,,,,9.0,7,,,,,Kazakhstan,KAZ
Kenya,"7,190",204,18,73,159,134,54,52,471,242,211,28,337,84,100,31,13,810,132,90,18,39,27,41,13,58,133.0,340.0,35,15,66,12,39.0,39.0,68.0,165.0,,24.0,6,3,68.0,27.0,,97.0,,15.0,,96.0,20.0,7,8,Kenya,KEN
"Korea, North",41,4,,10,3,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,"Korea, North",PRK
"Korea, South","17,676","2,790",65,"3,581",805,271,562,525,560,322,635,787,603,383,292,235,57,98,34,100,278,74,147,135,98,185,230.0,74.0,51,46,8,54,42.0,52.0,92.0,70.0,36.0,20.0,29,164,61.0,31.0,21,47.0,34.0,26.0,5,8.0,17.0,30,8,"Korea, South",KOR
Kuwait,"1,090",95,14,60,46,41,69,32,55,23,12,15,25,22,19,16,9,27,15,11,51,6,9,4,6,10,12.0,16.0,6,5,3,,8.0,12.0,15.0,8.0,,4.0,,,11.0,4.0,7,5.0,5.0,7.0,,4.0,3.0,,6,Kuwait,KWT
Kyrgyzstan,908,227,11,26,34,10,188,19,8,6,7,17,13,3,57,,,5,4,,3,30,,9,,30,,,,5,6,,,3.0,,3.0,,,,,30.0,,,11.0,,7.0,,,,,,Kyrgyzstan,KGZ
Laos,863,,,15,12,6,10,11,7,4,13,3,17,15,4,7,11,177,,5,9,27,,12,3,18,,8.0,,9,,5,,13.0,,9.0,,,,11,,3.0,81,,12.0,,3,3.0,18.0,,3,Laos,LAO
Latvia,356,64,14,20,5,5,23,4,8,8,6,3,13,4,7,,8,9,,4,4,7,3,4,4,5,5.0,,,8,,,,,,,3.0,,,,,,,4.0,,,,,5.0,,,Latvia,LVA
Lebanon,"2,581",168,72,289,87,142,41,41,63,127,24,36,32,45,23,72,21,27,18,29,526,10,16,7,8,20,4.0,13.0,8,22,3,14,10.0,,10.0,3.0,8.0,12.0,,,11.0,7.0,10,9.0,7.0,38.0,,16.0,5.0,,3,Lebanon,LBN
Lesotho,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,LSO
Liberia,"3,101",194,6,8,170,38,38,16,64,55,129,,12,,558,,8,485,,26,12,18,9,24,6,11,88.0,47.0,,76,29,129,35.0,8.0,11.0,16.0,3.0,8.0,6,,5.0,11.0,,8.0,9.0,16.0,4,40.0,5.0,,,Liberia,LBR
Libya,499,21,8,15,14,17,14,6,19,14,3,8,10,7,7,3,5,7,7,8,39,4,,28,,12,3.0,10.0,,,,,4.0,3.0,,5.0,,,,,10.0,,,4.0,4.0,,,3.0,,,3,Libya,LBY
Lithuania,658,73,21,31,10,6,243,11,5,12,10,11,13,6,19,,14,,6,,5,3,,10,4,3,4.0,,,3,,,3.0,,,,4.0,,,3,3.0,,,,,3.0,4,4.0,4.0,,,Lithuania,LTU
Luxembourg,30,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,LUX
Macau,91,6,,17,,4,,27,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macau,MAC
North Macedonia,"1,082",321,31,15,21,10,244,6,10,14,4,,3,,8,,6,,3,8,56,,,,4,4,3.0,5.0,,,,,3.0,,,5.0,6.0,,,,,,,7.0,4.0,7.0,,,12.0,,,North Macedonia,MKD
Madagascar,79,7,,,15,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,Madagascar,MDG
Malawi,257,9,6,3,19,5,8,,8,3,10,,6,,7,,,3,,5,,,5,9,,,5.0,7.0,,8,5,4,4.0,3.0,,3.0,,5.0,,,,,,,,,,,,,,Malawi,MWI
Malaysia,"3,051",230,5,88,52,82,149,74,187,30,124,95,54,30,23,12,6,30,6,80,14,28,18,51,4,55,46.0,21.0,49,35,22,9,189.0,27.0,11.0,32.0,4.0,13.0,,3,4.0,15.0,,7.0,4.0,11.0,,,201.0,,4,Malaysia,MYS
Mali,488,196,,,27,10,12,6,,6,13,,16,,60,,,,,4,,,,12,,,22.0,4.0,,5,,3,8.0,,,,,,,,23.0,,,,,3.0,,3.0,,,,Mali,MLI
Malta,58,3,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malta,MLT
Marshall Islands,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,MHL
Mauritania,212,45,,,11,,4,,,,,,,,9,,,,,3,,,,,,,,28.0,,,7,,5.0,,,,,,,,55.0,,,,,,,,,,,Mauritania,MRT
Mauritius,67,11,,,,4,,4,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,MUS
Mexico,"161,858","3,417","1,178","17,289",803,"7,740","9,030","3,863","7,874",239,"2,155","2,188","1,386","6,827",750,"6,902",695,"1,154",405,"4,536",900,"1,521","2,431","2,586","1,944","1,445",184.0,235.0,"3,265","1,072",217,73,634.0,487.0,545.0,910.0,105.0,125.0,"3,785",32,211.0,906.0,"1,825",243.0,46.0,126.0,249,31.0,599.0,"2,868","1,076",Mexico,MEX
"Micronesia, Federated States",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Micronesia, Federated States",FSM
Moldova,"2,206",155,53,56,46,27,317,38,35,42,58,16,198,22,28,4,22,83,56,16,13,176,3,12,28,105,9.0,3.0,,15,,4,10.0,6.0,9.0,4.0,6.0,10.0,,,7.0,4.0,,,,34.0,4,,7.0,,,Moldova,MDA
Monaco,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco,MCO
Mongolia,636,11,,41,116,,96,123,3,3,4,7,29,,3,,,,,6,,13,,37,5,3,6.0,,,4,,,,,,6.0,,,,,,8.0,,5.0,,,,,,,,Mongolia,MNG
Montenegro,299,154,3,6,3,,20,,6,4,,,,,,,,,,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Montenegro,MNE
Montserrat,20,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montserrat,MSR
Morocco,"3,077",530,64,79,277,30,97,48,53,289,53,22,29,23,121,14,49,31,134,20,23,16,29,45,12,9,29.0,49.0,14,9,13,24,20.0,6.0,65.0,7.0,13.0,9.0,,10,37.0,3.0,,8.0,18.0,13.0,,8.0,8.0,4,3,Morocco,MAR
Mozambique,100,4,,,7,,6,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3.0,,,5.0,,,Mozambique,MOZ
Namibia,75,4,,,,,,,,,3,,3,,,,,,,3,,,,5,,,,,,,,,8.0,,,,,,,,,,,,3.0,,,,,,,Namibia,NAM
Nauru,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nauru,NRU
Nepal,"11,953","1,280",35,239,909,244,277,497,908,406,223,123,228,24,128,45,9,158,11,75,49,87,190,275,18,63,469.0,413.0,37,78,126,33,31.0,73.0,102.0,80.0,19.0,13.0,5,48,102.0,64.0,4,68.0,46.0,76.0,3,55.0,20.0,4,6,Nepal,NPL
Netherlands,998,115,27,75,36,47,32,66,7,30,15,44,30,11,10,11,20,21,6,17,9,17,3,5,4,9,7.0,5.0,6,5,,,3.0,,4.0,4.0,8.0,5.0,,3,,,,5.0,5.0,6.0,4,,3.0,,,Netherlands,NLD
New Caledonia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia,NCL
New Zealand,719,78,10,72,17,7,20,40,6,21,8,25,25,19,5,8,3,8,8,9,4,11,11,25,6,11,5.0,,,5,,,,10.0,,3.0,,,,8,8.0,4.0,,,,5.0,,,,,,New Zealand,NZL
Nicaragua,"3,061",203,"1,057",247,131,94,28,175,40,17,53,32,14,20,25,58,22,23,39,12,5,8,19,10,38,9,12.0,6.0,14,27,5,7,20.0,10.0,3.0,,16.0,16.0,7,,8.0,6.0,,4.0,,,18,,5.0,4,4,Nicaragua,NIC
Niger,93,14,,,5,,,,,,,,,,7,,,,,,,,,,,,3.0,,,,,,8.0,,,,,,,,3.0,,,,,,,,,,,Niger,NER
Nigeria,"13,952","1,781",117,417,"1,002","1,353",655,187,822,360,957,53,103,75,321,164,72,284,97,63,163,73,138,47,53,78,661.0,134.0,82,74,30,117,367.0,56.0,106.0,76.0,20.0,58.0,28,,86.0,8.0,24,80.0,27.0,63.0,,17.0,45.0,9,25,Nigeria,NGA
Oman,110,9,,7,4,9,4,4,5,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,OMN
Pakistan,"15,802","3,523",165,459,"1,329","1,087",910,401,631,187,416,173,197,63,401,174,44,69,84,103,236,325,123,66,39,41,362.0,116.0,51,59,31,52,83.0,25.0,89.0,83.0,48.0,35.0,8,,42.0,31.0,30,60.0,111.0,26.0,,47.0,85.0,10,225,Pakistan,PAK
Palau,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,897,168,108,27,41,26,12,13,19,11,17,5,8,7,9,12,37,,27,3,,3,14,7,9,5,5.0,,12,5,3,,5.0,3.0,8.0,,,11.0,,,5.0,7.0,,,,,4,6.0,,,,Panama,PAN
Papua New Guinea,27,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
Paraguay,389,173,27,15,29,4,3,4,6,,5,,,,3,,4,,3,5,,,,8,,,5.0,,,7,,3,,,,,11.0,,,,,,,,,,,,,,,Paraguay,PRY
Peru,"9,878","2,672","1,211",522,820,132,155,327,138,121,169,72,84,64,69,106,166,44,164,44,21,52,43,97,67,23,40.0,32.0,32,73,14,30,31.0,31.0,42.0,24.0,124.0,32.0,6,9,21.0,107.0,3,32.0,142.0,15.0,22,11.0,17.0,5,18,Peru,PER
Philippines,"47,258","3,301",678,"5,205","1,209",869,"1,631","2,827",462,211,255,"1,238","1,064","1,818",339,"1,209",307,360,420,427,250,645,135,156,"1,267",284,421.0,111.0,312,188,107,72,103.0,318.0,61.0,133.0,93.0,328.0,37,"2,394",730.0,65.0,153,135.0,45.0,79.0,37,27.0,40.0,41,433,Philippines,PHL
Poland,"4,357","1,235",69,106,59,23,"1,397",76,24,49,22,69,69,30,72,9,34,14,12,26,58,6,12,36,10,23,15.0,8.0,13,5,8,10,11.0,3.0,5.0,,59.0,9.0,,3,6.0,8.0,,8.0,97.0,13.0,,15.0,13.0,,,Poland,POL
Portugal,889,243,68,20,17,18,20,19,11,61,5,25,10,12,12,3,6,,10,,5,5,3,,3,,4.0,,,,,125,,,3.0,,8.0,,3,3,,,5,3.0,6.0,,,4.0,,,11,Portugal,PRT
Qatar,236,27,,4,24,10,6,3,12,3,7,3,,7,6,6,,4,,7,9,,3,,,,4.0,5.0,,,,,,,,5.0,,,,,7.0,,3,,,,,,,,,Qatar,QAT
Romania,"2,448",281,126,147,85,43,252,57,30,51,75,57,88,25,30,28,33,22,21,57,89,45,9,19,24,52,12.0,6.0,7,15,3,11,9.0,4.0,5.0,,14.0,12.0,3,5,5.0,,3,8.0,3.0,39.0,12,6.0,7.0,,,Romania,ROU
Russia,"8,621","1,554",395,676,278,199,316,420,100,277,134,440,402,140,196,40,128,87,78,64,31,251,90,98,81,175,51.0,27.0,20,114,11,21,13.0,13.0,72.0,21.0,32.0,28.0,,17,26.0,20.0,,24.0,12.0,40.0,11,17.0,24.0,,4,Russia,RUS
Rwanda,"1,620",7,5,,9,63,25,5,145,18,58,,7,9,3,6,,7,,57,,5,30,14,4,14,14.0,32.0,8,12,65,12,8.0,46.0,11.0,21.0,11.0,10.0,,,6.0,43.0,,23.0,5.0,24.0,,,5.0,,,Rwanda,RWA
Saint Kitts and Nevis,250,74,25,,8,5,,,,6,8,,,,,,8,,9,,,,,,,,,,,,,3,,,,,,,,,,,,4.0,7.0,,,,,,,Saint Kitts and Nevis,KNA
Saint Lucia,696,287,39,,12,42,3,,4,8,20,,,,11,,20,3,34,3,,,,,,,3.0,,,4,,,,,,,4.0,6.0,,,,,,,34.0,,,,3.0,,,Saint Lucia,LCA
Saint Vincent and the Grenadines,333,217,8,,5,,,3,,11,5,,,,19,,3,,8,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,179,,,24,,,,3,,,,,25,7,,9,,,,3,,,,,4,5,,,,,,,,,,,,,,19,,14.0,,,,,,,,,,Samoa,WSM
Sao Tome and Principe,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,"2,100",205,35,125,173,111,142,67,65,37,31,31,46,21,34,24,26,34,12,25,63,29,10,16,6,24,28.0,26.0,3,8,,3,9.0,11.0,20.0,9.0,,8.0,,3,14.0,,14,7.0,7.0,26.0,,10.0,14.0,,5,Saudi Arabia,SAU
Senegal,"1,420",437,5,16,79,18,14,12,16,13,93,,20,7,24,5,9,6,3,3,27,,4,15,4,,35.0,94.0,,11,24,37,16.0,6.0,15.0,,,,,,63.0,,,9.0,3.0,,,,3.0,,,Senegal,SEN
Serbia,"1,217",211,64,57,60,8,211,18,16,32,9,18,10,36,12,5,23,9,10,10,16,7,9,12,19,4,3.0,3.0,7,6,,3,,,,3.0,6.0,3.0,,,3.0,,,7.0,,18.0,,,6.0,,,Serbia,SRB
Seychelles,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,"1,527",196,,20,467,33,10,11,39,25,57,14,19,5,143,9,5,41,,16,6,7,4,5,,5,25.0,88.0,,18,,3,8.0,13.0,14.0,4.0,,,4,,5.0,,,4.0,3.0,,,3.0,3.0,,,Sierra Leone,SLE
Singapore,801,125,8,70,23,30,26,76,15,15,14,74,39,6,12,5,,5,5,6,3,,11,8,3,8,6.0,,6,4,,3,,5.0,6.0,,7.0,3.0,,3,4.0,,,4.0,,,,,,,,Singapore,SGP
Sint Maarten,27,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sint Maarten,SXM
Slovakia,370,84,17,12,9,5,31,10,,7,7,6,4,3,6,,7,8,,8,,,3,8,,4,,,,,,,,,4.0,,11.0,4.0,,,,,,,,,,,,,,Slovakia,SVK
Slovenia,95,15,,5,3,,3,4,3,4,,5,,6,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,Slovenia,SVN
Somalia,"7,557",3,,12,27,16,36,,128,61,78,7,323,87,,,,"1,537",5,95,,,9,94,,133,,826.0,6,15,267,12,34.0,114.0,27.0,116.0,,,,,47.0,99.0,,71.0,,15.0,,17.0,92.0,,,Somalia,SOM
South Africa,"3,010",238,117,180,103,83,71,92,67,31,64,41,135,39,37,16,27,186,48,23,17,16,27,54,9,24,15.0,23.0,12,61,9,7,17.0,7.0,26.0,37.0,31.0,9.0,,12,14.0,17.0,7,8.0,5.0,7.0,6,,9.0,,,South Africa,ZAF
South Sudan,185,,,,,,,,4,,7,,5,4,,,,8,,9,,,,3,,,,,,,4,,,7.0,,5.0,,,,,,7.0,,,,,,,,,,South Sudan,SSD
Spain,"2,841",441,427,128,91,91,94,145,52,127,32,103,64,60,26,13,43,11,32,17,21,16,21,13,21,23,13.0,10.0,14,19,3,10,18.0,5.0,22.0,10.0,24.0,13.0,,3,5.0,3.0,,5.0,5.0,14.0,20,7.0,,8,,Spain,ESP
Sri Lanka,"1,594",302,13,192,164,50,38,39,43,41,19,26,10,9,26,18,12,25,12,10,19,6,13,7,19,23,18.0,14.0,4,3,12,,4.0,,14.0,3.0,8.0,6.0,,,,5.0,,4.0,15.0,7.0,,9.0,3.0,,,Sri Lanka,LKA
Sudan,"3,658",159,26,41,291,77,126,51,144,64,68,15,63,30,97,8,40,29,8,61,10,11,23,101,22,,93.0,39.0,21,26,41,,52.0,63.0,26.0,39.0,13.0,47.0,,,10.0,40.0,,15.0,23.0,16.0,,15.0,25.0,,,Sudan,SDN
Suriname,182,91,24,,6,3,,,,,3,,,,,,,,9,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,Suriname,SUR
Sweden,889,117,24,77,26,14,36,72,12,13,10,64,34,33,20,5,17,14,7,9,4,8,11,9,,7,5.0,,5,9,,3,,4.0,6.0,,5.0,7.0,,5,,3.0,,4.0,4.0,,12,,,,,Sweden,SWE
Switzerland,570,87,25,45,27,10,11,38,7,20,6,24,10,16,14,5,5,10,,5,,5,6,4,5,5,,,,3,,3,,,3.0,3.0,5.0,,,,3.0,,,3.0,,8.0,,,,,3,Switzerland,CHE
Syria,"14,686",501,145,532,261,383,764,71,421,114,375,21,72,838,285,133,188,25,75,536,"1,274",330,140,138,56,85,222.0,205.0,17,130,219,142,203.0,133.0,141.0,66.0,72.0,159.0,,3,63.0,72.0,59,269.0,104.0,236.0,,88.0,36.0,4,,Syria,SYR
Taiwan,"5,079",485,66,966,212,151,79,395,111,120,45,643,206,143,41,144,20,20,12,33,31,32,78,24,24,104,26.0,10.0,10,16,3,8,13.0,6.0,18.0,17.0,5.0,,,27,9.0,7.0,6,13.0,14.0,7.0,,8.0,11.0,,,Taiwan,TWN
Tajikistan,893,457,3,25,36,6,31,11,3,,7,9,10,,39,,3,13,8,,,6,6,36,7,4,,14.0,,,,,,,,,,,,,,,,10.0,,,,,,,,Tajikistan,TJK
Tanzania,"3,186",45,,8,98,63,49,11,120,41,221,3,29,92,25,,,24,21,199,3,8,9,33,11,15,30.0,50.0,4,5,54,25,37.0,91.0,27.0,18.0,14.0,14.0,,,12.0,51.0,,,14.0,54.0,,12.0,23.0,,,Tanzania,TZA
Thailand,"5,556",248,92,407,211,101,116,175,96,105,107,67,116,99,63,80,52,293,38,46,36,41,25,76,90,96,33.0,23.0,42,16,7,16,30.0,30.0,17.0,39.0,12.0,36.0,,62,18.0,37.0,18,20.0,6.0,17.0,10,17.0,115.0,,8,Thailand,THA
Timor-Leste,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timor-Leste,TLS
Togo,"1,534",209,,6,226,18,40,3,37,,67,,17,8,35,3,9,70,,10,4,,4,12,,6,9.0,12.0,9,23,28,4,26.0,,14.0,10.0,,,,,10.0,8.0,,7.0,17.0,3.0,,,5.0,,,Togo,TGO
Tonga,225,,,9,,,,35,10,,,22,13,,,18,,,,6,,8,,,,16,,,,,,,,,,,,,,21,,17.0,,,,,,,,,,Tonga,TON
Trinidad and Tobago,"2,758","1,369",233,26,101,79,4,9,9,67,54,4,7,4,78,3,39,11,74,7,6,5,17,,,4,56.0,7.0,7,11,,5,8.0,6.0,5.0,,6.0,12.0,4,,,,,5.0,10.0,7.0,8,6.0,,,,Trinidad and Tobago,TTO
Tunisia,517,52,14,34,59,13,12,25,3,7,14,12,4,17,27,,14,4,15,5,9,3,4,6,,4,,,4,,3,,7.0,5.0,,,4.0,,,,,,,,,,,,5.0,3,,Tunisia,TUN
Turkey,"5,585","1,275",135,306,260,323,177,170,87,211,121,135,126,109,173,20,63,36,54,46,72,22,89,38,18,55,49.0,37.0,41,20,16,15,28.0,25.0,27.0,23.0,30.0,27.0,,,21.0,6.0,,27.0,24.0,27.0,5,11.0,18.0,,4,Turkey,TUR
Turkmenistan,286,89,6,7,7,19,29,10,3,5,,,10,10,11,3,,3,,3,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,4.0,,,Turkmenistan,TKM
Turks and Caicos Islands,41,11,15,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
Uganda,"2,412",48,6,63,64,45,43,33,64,273,80,5,56,76,22,13,8,68,4,88,21,6,18,43,21,11,35.0,33.0,8,4,48,18,31.0,28.0,31.0,39.0,,17.0,,,,28.0,,24.0,11.0,46.0,,18.0,7.0,,,Uganda,UGA
Ukraine,"11,879","1,900",246,361,213,77,"1,163",279,74,182,121,266,"1,005",131,438,21,106,147,53,38,213,902,77,108,33,552,58.0,27.0,19,119,6,14,15.0,27.0,35.0,27.0,112.0,51.0,,8,23.0,18.0,34,26.0,37.0,253.0,20,5.0,30.0,,4,Ukraine,UKR
United Arab Emirates,"1,379",153,35,97,59,102,61,48,54,15,21,39,34,17,29,16,13,8,32,19,60,16,10,15,,15,4.0,9.0,6,7,7,,6.0,11.0,6.0,8.0,3.0,13.0,,,19.0,5.0,,12.0,4.0,7.0,3,3.0,3.0,,3,United Arab Emirates,ARE
United Kingdom,"9,908","1,470",226,710,300,334,298,504,183,267,199,243,263,194,188,77,104,80,215,69,74,78,116,103,55,105,64.0,58.0,50,75,19,40,36.0,52.0,57.0,45.0,82.0,48.0,6,16,49.0,35.0,18,48.0,28.0,35.0,23,18.0,17.0,5,18,United Kingdom,GBR
United States,306,46,18,22,27,12,8,6,10,,6,8,5,8,,3,4,,6,5,,,5,,,,,,7,4,,,,,,,,,,,,,3,,,,,,3.0,3,,United States,USA
Uruguay,960,262,188,27,36,16,12,11,11,12,51,,3,5,6,,19,6,4,5,3,3,6,3,9,,7.0,,,13,3,,,,8.0,,14.0,5.0,,,,6.0,,,,,4,36.0,3.0,,,Uruguay,URY
Uzbekistan,"4,612","2,729",31,77,51,17,96,37,17,21,27,24,31,18,292,6,14,22,20,10,30,49,3,26,5,9,79.0,29.0,3,,,10,6.0,63.0,11.0,6.0,,,,,151.0,,3,19.0,13.0,38.0,5,4.0,3.0,,,Uzbekistan,UZB
Venezuela,"11,762",826,"4,576",143,222,876,127,83,203,157,255,36,44,49,69,37,389,36,853,44,45,26,94,67,50,33,30.0,47.0,64,69,32,42,46.0,27.0,55.0,34.0,37.0,60.0,12,14,20.0,69.0,6,28.0,14.0,20.0,50,23.0,7.0,16,4,Venezuela,VEN
Vietnam,"33,834",732,352,"5,050","1,113","2,343",577,"1,138","1,367",878,"1,135","2,339","1,355",851,628,428,406,479,293,436,224,671,307,425,193,521,174.0,56.0,189,244,97,63,61.0,77.0,130.0,190.0,29.0,106.0,22,168,102.0,109.0,59,186.0,106.0,62.0,37,145.0,65.0,21,159,Vietnam,VNM
"Virgin Islands, British",37,5,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virgin Islands, British",VGB
Yemen,"1,885",492,,11,26,,34,160,3,3,,3,19,13,19,3,3,25,4,,375,,3,,,3,6.0,13.0,,8,6,,,11.0,,,,,,,,,48,6.0,4.0,8.0,,4.0,,,17,Yemen,YEM
Zambia,477,37,,5,24,10,23,7,26,15,20,,6,6,5,,,3,17,,6,4,5,,4,14,5.0,3.0,,5,,,6.0,6.0,3.0,,,4.0,,,,,,11.0,4.0,10.0,,,3.0,,,Zambia,ZMB
Zimbabwe,749,59,10,17,32,21,15,12,70,26,41,7,7,5,20,4,6,22,6,10,6,4,9,4,4,9,8.0,5.0,4,9,,4,26.0,,4.0,5.0,5.0,,,,11.0,3.0,,10.0,4.0,3.0,,10.0,,,,Zimbabwe,ZWE
